"id","name","applicability"
"account_tag_external_code_0010","0010","accounts"
"account_tag_external_code_0011","0011","accounts"
"account_tag_external_code_0019","0019","accounts"
"account_tag_external_code_0020","0020","accounts"
"account_tag_external_code_0021","0021","accounts"
"account_tag_external_code_0029","0029","accounts"
"account_tag_external_code_0100","0100","accounts"
"account_tag_external_code_0101","0101","accounts"
"account_tag_external_code_0109","0109","accounts"
"account_tag_external_code_0110","0110","accounts"
"account_tag_external_code_0111","0111","accounts"
"account_tag_external_code_0112","0112","accounts"
"account_tag_external_code_0113","0113","accounts"
"account_tag_external_code_0119","0119","accounts"
"account_tag_external_code_0120","0120","accounts"
"account_tag_external_code_0121","0121","accounts"
"account_tag_external_code_0129","0129","accounts"
"account_tag_external_code_0130","0130","accounts"
"account_tag_external_code_0131","0131","accounts"
"account_tag_external_code_0132","0132","accounts"
"account_tag_external_code_0133","0133","accounts"
"account_tag_external_code_0134","0134","accounts"
"account_tag_external_code_0140","0140","accounts"
"account_tag_external_code_0141","0141","accounts"
"account_tag_external_code_0149","0149","accounts"
"account_tag_external_code_0150","0150","accounts"
"account_tag_external_code_0151","0151","accounts"
"account_tag_external_code_0159","0159","accounts"
"account_tag_external_code_0160","0160","accounts"
"account_tag_external_code_0169","0169","accounts"
"account_tag_external_code_0170","0170","accounts"
"account_tag_external_code_0179","0179","accounts"
"account_tag_external_code_0180","0180","accounts"
"account_tag_external_code_0200","0200","accounts"
"account_tag_external_code_0205","0205","accounts"
"account_tag_external_code_0210","0210","accounts"
"account_tag_external_code_0219","0219","accounts"
"account_tag_external_code_0220","0220","accounts"
"account_tag_external_code_0229","0229","accounts"
"account_tag_external_code_0300","0300","accounts"
"account_tag_external_code_0301","0301","accounts"
"account_tag_external_code_0310","0310","accounts"
"account_tag_external_code_0311","0311","accounts"
"account_tag_external_code_0320","0320","accounts"
"account_tag_external_code_0321","0321","accounts"
"account_tag_external_code_0330","0330","accounts"
"account_tag_external_code_0331","0331","accounts"
"account_tag_external_code_0340","0340","accounts"
"account_tag_external_code_0341","0341","accounts"
"account_tag_external_code_0349","0349","accounts"
"account_tag_external_code_0350","0350","accounts"
"account_tag_external_code_0351","0351","accounts"
"account_tag_external_code_0359","0359","accounts"
"account_tag_external_code_0360","0360","accounts"
"account_tag_external_code_0361","0361","accounts"
"account_tag_external_code_0370","0370","accounts"
"account_tag_external_code_0371","0371","accounts"
"account_tag_external_code_0379","0379","accounts"
"account_tag_external_code_0400","0400","accounts"
"account_tag_external_code_0401","0401","accounts"
"account_tag_external_code_0410","0410","accounts"
"account_tag_external_code_0411","0411","accounts"
"account_tag_external_code_0420","0420","accounts"
"account_tag_external_code_0421","0421","accounts"
"account_tag_external_code_0430","0430","accounts"
"account_tag_external_code_0431","0431","accounts"
"account_tag_external_code_0439","0439","accounts"
"account_tag_external_code_0440","0440","accounts"
"account_tag_external_code_0441","0441","accounts"
"account_tag_external_code_0500","0500","accounts"
"account_tag_external_code_0501","0501","accounts"
"account_tag_external_code_0510","0510","accounts"
"account_tag_external_code_0511","0511","accounts"
"account_tag_external_code_0520","0520","accounts"
"account_tag_external_code_0521","0521","accounts"
"account_tag_external_code_0530","0530","accounts"
"account_tag_external_code_0531","0531","accounts"
"account_tag_external_code_0540","0540","accounts"
"account_tag_external_code_0541","0541","accounts"
"account_tag_external_code_0550","0550","accounts"
"account_tag_external_code_0551","0551","accounts"
"account_tag_external_code_0555","0555","accounts"
"account_tag_external_code_0556","0556","accounts"
"account_tag_external_code_0559","0559","accounts"
"account_tag_external_code_0600","0600","accounts"
"account_tag_external_code_0601","0601","accounts"
"account_tag_external_code_0605","0605","accounts"
"account_tag_external_code_0606","0606","accounts"
"account_tag_external_code_0610","0610","accounts"
"account_tag_external_code_0611","0611","accounts"
"account_tag_external_code_0612","0612","accounts"
"account_tag_external_code_0613","0613","accounts"
"account_tag_external_code_0620","0620","accounts"
"account_tag_external_code_0621","0621","accounts"
"account_tag_external_code_0630","0630","accounts"
"account_tag_external_code_0631","0631","accounts"
"account_tag_external_code_0640","0640","accounts"
