"id","position_id/id","tax_src_id/id","tax_dest_id/id"
"afpttn_intracom_1","fiscal_position_template_3","attn_VAT-OUT-00-S","attn_VAT-OUT-00-EU-S"
"afpttn_intracom_2","fiscal_position_template_3","attn_VAT-OUT-00-L","attn_VAT-OUT-00-EU-L"
"afpttn_intracom_3","fiscal_position_template_3","attn_VAT-OUT-06-S","attn_VAT-OUT-00-EU-S"
"afpttn_intracom_4","fiscal_position_template_3","attn_VAT-OUT-06-L","attn_VAT-OUT-00-EU-L"
"afpttn_intracom_5","fiscal_position_template_3","attn_VAT-OUT-12-S","attn_VAT-OUT-00-EU-S"
"afpttn_intracom_6","fiscal_position_template_3","attn_VAT-OUT-12-L","attn_VAT-OUT-00-EU-L"
"afpttn_intracom_7","fiscal_position_template_3","attn_VAT-OUT-21-S","attn_VAT-OUT-00-EU-S"
"afpttn_intracom_8","fiscal_position_template_3","attn_VAT-OUT-21-L","attn_VAT-OUT-00-EU-L"
"afpttn_intracom_9","fiscal_position_template_3","attn_VAT-IN-V81-00","attn_VAT-IN-V81-00-EU"
"afpttn_intracom_10","fiscal_position_template_3","attn_VAT-IN-V81-06","attn_VAT-IN-V81-06-EU"
"afpttn_intracom_11","fiscal_position_template_3","attn_VAT-IN-V81-12","attn_VAT-IN-V81-12-EU"
"afpttn_intracom_12","fiscal_position_template_3","attn_VAT-IN-V81-21","attn_VAT-IN-V81-21-EU"
"afpttn_intracom_13","fiscal_position_template_3","attn_VAT-IN-V82-00-S","attn_VAT-IN-V82-00-EU-S"
"afpttn_intracom_14","fiscal_position_template_3","attn_VAT-IN-V82-00-G","attn_VAT-IN-V82-00-EU-G"
"afpttn_intracom_15","fiscal_position_template_3","attn_VAT-IN-V82-06-S","attn_VAT-IN-V82-06-EU-S"
"afpttn_intracom_16","fiscal_position_template_3","attn_VAT-IN-V82-06-G","attn_VAT-IN-V82-06-EU-G"
"afpttn_intracom_17","fiscal_position_template_3","attn_VAT-IN-V82-12-S","attn_VAT-IN-V82-12-EU-S"
"afpttn_intracom_18","fiscal_position_template_3","attn_VAT-IN-V82-12-G","attn_VAT-IN-V82-12-EU-G"
"afpttn_intracom_19","fiscal_position_template_3","attn_VAT-IN-V82-21-S","attn_VAT-IN-V82-21-EU-S"
"afpttn_intracom_20","fiscal_position_template_3","attn_VAT-IN-V82-21-G","attn_VAT-IN-V82-21-EU-G"
"afpttn_intracom_21","fiscal_position_template_3","attn_VAT-IN-V83-00","attn_VAT-IN-V83-00-EU"
"afpttn_intracom_22","fiscal_position_template_3","attn_VAT-IN-V83-06","attn_VAT-IN-V83-06-EU"
"afpttn_intracom_23","fiscal_position_template_3","attn_VAT-IN-V83-12","attn_VAT-IN-V83-12-EU"
"afpttn_intracom_24","fiscal_position_template_3","attn_VAT-IN-V83-21","attn_VAT-IN-V83-21-EU"
"afpttn_extracom_1","fiscal_position_template_2","attn_VAT-OUT-00-S","attn_VAT-OUT-00-ROW"
"afpttn_extracom_2","fiscal_position_template_2","attn_VAT-OUT-00-L","attn_VAT-OUT-00-ROW"
"afpttn_extracom_3","fiscal_position_template_2","attn_VAT-OUT-06-S","attn_VAT-OUT-00-ROW"
"afpttn_extracom_4","fiscal_position_template_2","attn_VAT-OUT-06-L","attn_VAT-OUT-00-ROW"
"afpttn_extracom_5","fiscal_position_template_2","attn_VAT-OUT-12-S","attn_VAT-OUT-00-ROW"
"afpttn_extracom_6","fiscal_position_template_2","attn_VAT-OUT-12-L","attn_VAT-OUT-00-ROW"
"afpttn_extracom_7","fiscal_position_template_2","attn_VAT-OUT-21-S","attn_VAT-OUT-00-ROW"
"afpttn_extracom_8","fiscal_position_template_2","attn_VAT-OUT-21-L","attn_VAT-OUT-00-ROW"
"afpttn_extracom_9","fiscal_position_template_2","attn_VAT-IN-V81-06","attn_VAT-IN-V81-06-ROW-CC"
"afpttn_extracom_10","fiscal_position_template_2","attn_VAT-IN-V81-12","attn_VAT-IN-V81-12-ROW-CC"
"afpttn_extracom_11","fiscal_position_template_2","attn_VAT-IN-V81-21","attn_VAT-IN-V81-21-ROW-CC"
"afpttn_extracom_12","fiscal_position_template_2","attn_VAT-IN-V82-06-S","attn_VAT-IN-V82-06-ROW-CC"
"afpttn_extracom_13","fiscal_position_template_2","attn_VAT-IN-V82-06-G","attn_VAT-IN-V82-06-ROW-CC"
"afpttn_extracom_14","fiscal_position_template_2","attn_VAT-IN-V82-12-S","attn_VAT-IN-V82-12-ROW-CC"
"afpttn_extracom_15","fiscal_position_template_2","attn_VAT-IN-V82-12-G","attn_VAT-IN-V82-12-ROW-CC"
"afpttn_extracom_16","fiscal_position_template_2","attn_VAT-IN-V82-21-S","attn_VAT-IN-V82-21-ROW-CC"
"afpttn_extracom_17","fiscal_position_template_2","attn_VAT-IN-V82-21-G","attn_VAT-IN-V82-21-ROW-CC"
"afpttn_extracom_18","fiscal_position_template_2","attn_VAT-IN-V83-06","attn_VAT-IN-V83-06-ROW-CC"
"afpttn_extracom_19","fiscal_position_template_2","attn_VAT-IN-V83-12","attn_VAT-IN-V83-12-ROW-CC"
"afpttn_extracom_20","fiscal_position_template_2","attn_VAT-IN-V83-21","attn_VAT-IN-V83-21-ROW-CC"
"afpttn_cocontractant_1","fiscal_position_template_4","attn_VAT-OUT-00-S","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_2","fiscal_position_template_4","attn_VAT-OUT-00-L","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_3","fiscal_position_template_4","attn_VAT-OUT-06-S","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_4","fiscal_position_template_4","attn_VAT-OUT-06-L","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_5","fiscal_position_template_4","attn_VAT-OUT-12-S","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_6","fiscal_position_template_4","attn_VAT-OUT-12-L","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_7","fiscal_position_template_4","attn_VAT-OUT-21-S","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_8","fiscal_position_template_4","attn_VAT-OUT-21-L","attn_VAT-OUT-00-CC"
"afpttn_cocontractant_9","fiscal_position_template_4","attn_VAT-IN-V81-06","attn_VAT-IN-V81-06-CC"
"afpttn_cocontractant_10","fiscal_position_template_4","attn_VAT-IN-V81-12","attn_VAT-IN-V81-12-CC"
"afpttn_cocontractant_11","fiscal_position_template_4","attn_VAT-IN-V81-21","attn_VAT-IN-V81-21-CC"
"afpttn_cocontractant_12","fiscal_position_template_4","attn_VAT-IN-V82-06-S","attn_VAT-IN-V82-06-CC"
"afpttn_cocontractant_13","fiscal_position_template_4","attn_VAT-IN-V82-06-G","attn_VAT-IN-V82-06-CC"
"afpttn_cocontractant_14","fiscal_position_template_4","attn_VAT-IN-V82-12-S","attn_VAT-IN-V82-12-CC"
"afpttn_cocontractant_15","fiscal_position_template_4","attn_VAT-IN-V82-12-G","attn_VAT-IN-V82-12-CC"
"afpttn_cocontractant_16","fiscal_position_template_4","attn_VAT-IN-V82-21-S","attn_VAT-IN-V82-21-CC"
"afpttn_cocontractant_17","fiscal_position_template_4","attn_VAT-IN-V82-21-G","attn_VAT-IN-V82-21-CC"
"afpttn_cocontractant_18","fiscal_position_template_4","attn_VAT-IN-V83-06","attn_VAT-IN-V83-06-CC"
"afpttn_cocontractant_19","fiscal_position_template_4","attn_VAT-IN-V83-12","attn_VAT-IN-V83-12-CC"
"afpttn_cocontractant_20","fiscal_position_template_4","attn_VAT-IN-V83-21","attn_VAT-IN-V83-21-CC"
