id,l10n_br_zip_ranges
l10n_br.city_br_001,[01000-001 05999-999] [08000-000 08499-999]
l10n_br.city_br_002,[20000-001 23799-999]
l10n_br.city_br_003,[70000-001 72799-999] [73000-001 73699-999]
l10n_br.city_br_004,[60000-001 61599-999]
l10n_br.city_br_005,[40000-001 42599-999]
l10n_br.city_br_006,[30000-001 31999-999]
l10n_br.city_br_007,[69000-001 69099-999]
l10n_br.city_br_008,[80000-001 82999-999]
l10n_br.city_br_009,[50000-001 52999-999]
l10n_br.city_br_010,[74000-001 74899-999]
l10n_br.city_br_011,[90000-001 91999-999]
l10n_br.city_br_012,[57630-000 57634-999]
l10n_br.city_br_013,[07000-001 07399-999]
l10n_br.city_br_014,[13000-001 13139-999]
l10n_br.city_br_015,[65000-001 65109-999]
l10n_br.city_br_016,[57000-001 57099-999]
l10n_br.city_br_017,[57350-000 57359-999]
l10n_br.city_br_018,[24400-001 24799-999]
l10n_br.city_br_019,[64000-001 64099-999]
l10n_br.city_br_020,[58000-001 58099-999]
l10n_br.city_br_021,[09600-001 09899-999]
l10n_br.city_br_022,[25000-001 25499-999]
l10n_br.city_br_023,[26000-001 26099-999] [26200-000 26299-999]
l10n_br.city_br_024,[59000-001 59139-999]
l10n_br.city_br_025,[58675-000 58679-999]
l10n_br.city_br_026,[06000-001 06299-999]
l10n_br.city_br_027,[18000-001 18109-999]
l10n_br.city_br_028,[38400-001 38439-999]
l10n_br.city_br_029,[14000-001 14114-999]
l10n_br.city_br_030,[12200-001 12249-999]
l10n_br.city_br_031,[78000-001 78109-999]
l10n_br.city_br_032,[54000-001 54499-999]
l10n_br.city_br_033,[32000-001 32399-999]
l10n_br.city_br_034,[89200-001 89239-999]
l10n_br.city_br_035,[44000-001 44149-999]
l10n_br.city_br_036,[49000-001 49099-999]
l10n_br.city_br_037,[86000-001 86124-999]
l10n_br.city_br_038,[36000-001 36107-999]
l10n_br.city_br_039,[88000-001 88099-999]
l10n_br.city_br_040,[74900-001 74999-999]
l10n_br.city_br_041,[29160-001 29184-999]
l10n_br.city_br_042,[28000-001 28179-999]
l10n_br.city_br_043,[26100-001 26199-999]
l10n_br.city_br_044,[24000-001 24399-999]
l10n_br.city_br_045,[15000-001 15104-999]
l10n_br.city_br_046,[67000-001 67199-999]
l10n_br.city_br_047,[29100-001 29129-999]
l10n_br.city_br_048,[95000-001 95149-999]
l10n_br.city_br_049,[76800-001 76849-999]
l10n_br.city_br_050,[08700-001 08899-999]
l10n_br.city_br_051,[13200-001 13219-999]
l10n_br.city_br_052,[68900-001 68914-999]
l10n_br.city_br_053,[25500-001 25599-999]
l10n_br.city_br_054,[13400-001 13439-999]
l10n_br.city_br_055,[58400-001 58449-999]
l10n_br.city_br_056,[11000-001 11249-999]
l10n_br.city_br_057,[09300-001 09399-999]
l10n_br.city_br_058,[39400-001 39429-999]
l10n_br.city_br_059,[58123-000 58124-999]
l10n_br.city_br_060,[32600-001 32699-999]
l10n_br.city_br_061,[87000-001 87109-999]
l10n_br.city_br_062,[75000-001 75159-999]
l10n_br.city_br_063,[09900-001 09999-999]
l10n_br.city_br_064,[06300-001 06399-999]
l10n_br.city_br_065,[56300-001 56354-999]
l10n_br.city_br_066,[17000-001 17119-999]
l10n_br.city_br_067,[55000-001 55119-999]
l10n_br.city_br_068,[45000-001 45119-999]
l10n_br.city_br_069,[08570-001 08599-999]
l10n_br.city_br_070,[69900-001 69924-999]
l10n_br.city_br_071,[89000-001 89099-999]
l10n_br.city_br_072,[84000-001 84129-999]
l10n_br.city_br_073,[61600-001 61699-999]
l10n_br.city_br_074,[29140-001 29159-999]
l10n_br.city_br_075,[14400-001 14414-999]
l10n_br.city_br_076,[53000-001 53399-999]
l10n_br.city_br_077,[88990-000 88999-999]
l10n_br.city_br_078,[62850-000 62859-999]
l10n_br.city_br_079,[92000-001 92479-999]
l10n_br.city_br_080,[58860-000 58864-999]
l10n_br.city_br_081,[38000-001 38107-999]
l10n_br.city_br_082,[68000-001 68128-999]
l10n_br.city_br_083,[59340-000 59342-999]
l10n_br.city_br_084,[33800-001 33979-999]
l10n_br.city_br_085,[83000-001 83189-999]
l10n_br.city_br_086,[96000-001 96147-999]
l10n_br.city_br_087,[29000-001 29099-999]
l10n_br.city_br_088,[06400-001 06499-999]
l10n_br.city_br_089,[12000-001 12119-999]
l10n_br.city_br_090,[08600-001 08699-999]
l10n_br.city_br_091,[85555-000 85556-999]
l10n_br.city_br_092,[42800-001 42849-999]
l10n_br.city_br_093,[78110-001 78169-999]
l10n_br.city_br_094,[13480-001 13489-999]
l10n_br.city_br_095,[11400-001 11499-999]
l10n_br.city_br_096,[63000-001 63099-999]
l10n_br.city_br_097,[85850-001 85874-999]
l10n_br.city_br_098,[13170-001 13182-999]
l10n_br.city_br_099,[25600-001 25779-999]
l10n_br.city_br_100,[06700-001 06729-999]
l10n_br.city_br_101,[06750-001 06799-999]
l10n_br.city_br_102,[65900-001 65919-999]
l10n_br.city_br_103,[59464-000 59469-999]
l10n_br.city_br_104,[88100-001 88124-999]
l10n_br.city_br_105,[68500-001 68514-999]
l10n_br.city_br_106,[68515-000 68517-999]
l10n_br.city_br_107,[94000-001 94379-999]
l10n_br.city_br_108,[59600-001 59649-999]
l10n_br.city_br_109,[88300-001 88319-999]
l10n_br.city_br_110,[27200-001 27299-999]
l10n_br.city_br_111,[35000-001 35109-999]
l10n_br.city_br_112,[13330-001 13349-999]
l10n_br.city_br_113,[89885-000 89885-999]
l10n_br.city_br_114,[89800-001 89816-999]
l10n_br.city_br_115,[56163-000 56169-999]
l10n_br.city_br_116,[06800-001 06849-999]
l10n_br.city_br_117,[27900-001 27997-999]
l10n_br.city_br_118,[78700-001 78759-999]
l10n_br.city_br_119,[65110-000 65129-999]
l10n_br.city_br_120,[79800-000 79849-999]
