id,code,name,reconcile,account_type,chart_template_id:id
co_puc_110501,110500,"[Assets] Available - Cash",FALSE,asset_cash,l10n_co_chart_template_generic
co_puc_111000,111000,"[Assets] Available - Bank",FALSE,asset_cash,l10n_co_chart_template_generic
co_puc_111500,111500,"[Assets] Available - Remittances in transit",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_112000,112000,"[Assets] Available - Savings account",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_112500,112500,"[Assets] Available - Funds",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_120500,120500,"[Assets] Investments - Actions",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_121000,121000,"[Assets] Investments - Quotas or parts of social interest",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_121500,121500,"[Assets] Investments - Bonds",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_122000,122000,"[Assets] Investments - Banknotes",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_122500,122500,"[Assets] Investments - Certificates",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_123000,123000,"[Assets] Investments - Commercial papers",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_123500,123500,"[Assets] Investments - Titles",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_124000,124000,"[Assets] Investments - Bank or financial acceptances",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_124500,124500,"[Assets] Investments - Fiduciary rights",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_125000,125000,"[Assets] Investments - Traded investment repurchase rights",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_125500,125500,"[Assets] Investments - Compulsory investments",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_126000,126000,"[Assets] Investments - Participating accounts",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_129500,129500,"[Assets] Investments - Others",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_129900,129900,"[Assets] Investments - Provisions",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_130500,130500,"[Assets] Debts - Clients",TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_130505,130505,"[Assets] Debts - POS Clients",TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_131000,131000,"[Assets] Debts - Business checking accounts",TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_131500,131500,"[Assets] Debts - Accounts receivable from parent company",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_132000,132000,"[Assets] Debts - Accounts receivable from related parties",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_132300,132300,"[Assets] Debts - Accounts receivable from director",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_132500,132500,"[Assets] Debts - Accounts receivable from partners and shareholders",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_132800,132800,"[Assets] Debts - Contributions receivable",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_133000,133000,"[Assets] Debts - Advances",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_133200,133200,"[Assets] Debts - Joint operating accounts",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_133500,133500,"[Assets] Debts - Deposits",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_134000,134000,"[Assets] Debts - Purchase and sale promises",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_134500,134500,"[Assets] Debts - Cash receipts",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135000,135000,"[Assets] Debts - Withholding on contracts",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135500,135500,"[Assets] Debts - Advance payment of taxes and contributions or balances in favor",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135505,135505,"[Assets] Debts - VAT Receivable",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_136000,136000,"[Assets] Debts - Claims",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_136500,136500,"[Assets] Debts - Accounts receivable from employees",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_137000,137000,"[Assets] Debts - Loans to individuals",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_138000,138000,"[Assets] Debts - Others",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_138500,138500,"[Assets] Debts - Traded portfolio repurchase rights",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_139000,139000,"[Assets] Debts - Doubtful",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_139900,139900,"[Assets] Debts - Provisions",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_140500,140500,"[Assets] Inventories - Raw materials",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_141000,141000,"[Assets] Inventories - Products in process",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_141500,141500,"[Assets] Inventories - Construction works in progress",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_141700,141700,"[Assets] Inventories - Urban planning works",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_142000,142000,"[Assets] Inventories - Execution contracts",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_142500,142500,"[Assets] Inventories - Crops in development",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_142800,142800,"[Assets] Inventories - Agricultural plantations",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_143000,143000,"[Assets] Inventories - Finished products",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_143500,143500,"[Assets] Inventories - Goods not manufactured by the company",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_144000,144000,"[Assets] Inventories - Real estate for sale",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_144500,144500,"[Assets] Inventories - Livestock",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_145000,145000,"[Assets] Inventories - Land",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_145500,145500,"[Assets] Inventories - Materials, spare parts and accessories",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_146000,146000,"[Assets] Inventories - Containers and packaging",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_146500,146500,"[Assets] Inventories - Inventories in transit",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_149900,149900,"[Assets] Inventories - Provisions",FALSE,asset_current,l10n_co_chart_template_generic
co_puc_150400,150400,"[Assets] Property, plant and equipment - Land",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_150600,150600,"[Assets] Property, plant and equipment - Materials for oil projects",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_150800,150800,"[Assets] Property, plant and equipment - Constructions in progress",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_151200,151200,"[Assets] Property, plant and equipment - Machinery and equipment in assembly",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_151600,151600,"[Assets] Property, plant and equipment - Constructions and buildings",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_152000,152000,"[Assets] Property, plant and equipment - Machinery and equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_152400,152400,"[Assets] Property, plant and equipment - Office furnitures",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_152800,152800,"[Assets] Property, plant and equipment - Computer and communication equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_153200,153200,"[Assets] Property, plant and equipment - Medical and scientific equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_153600,153600,"[Assets] Property, plant and equipment - Hotel and restaurant equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_154000,154000,"[Assets] Property, plant and equipment - Fleet and transport equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_154400,154400,"[Assets] Property, plant and equipment - River and/or maritime fleet and equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_154800,154800,"[Assets] Property, plant and equipment - Air fleet and equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_155200,155200,"[Assets] Property, plant and equipment - Railway fleet and equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_155600,155600,"[Assets] Property, plant and equipment - Aqueducts, plants and networks",FALSE,asset_non_current,l10n_co_chart_template_generic
co_puc_156000,156000,"[Assets] Property, plant and equipment - Surveillance equipment",FALSE,asset_non_current,l10n_co_chart_template_generic
