"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_scope","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids"
"E_sale","Exempt","0%","0%","0.0","percent","sale","","0","tax_group_vat_0","base","invoice","","","+26"
"","","","","","","","","","","tax","invoice","","","+26"
"","","","","","","","","","","base","refund","","","-26"
"","","","","","","","","","","tax","refund","","","-26"
"E_purchase","Exempt","0%","0%","0.0","percent","purchase","","0","tax_group_vat_0","base","invoice","",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","",""
"ER_sale","EU sales(goods and related services) - reduced rate","0%","0%","0.0","percent","sale","consu","0","tax_group_vat_0","base","invoice","","","+20"
"","","","","","","","","","","tax","invoice","","","+20"
"","","","","","","","","","","base","refund","","","-20"
"","","","","","","","","","","tax","refund","","","-20"
"ER_purchase","EU purchases(goods and related services) - reduced rate","15%","15%","15.0","percent","purchase","consu","0","tax_group_vat_15","base","invoice","","","+4 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+4 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343215","-100"
"","","","","","","","","","","base","refund","","","-4 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343115","","-4 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343215","-100"
"ES_sale","EU sales(goods and related services)","0%","0%","0.0","percent","sale","consu","0","tax_group_vat_0","base","invoice","","","+20"
"","","","","","","","","","","tax","invoice","","","+20"
"","","","","","","","","","","base","refund","","","-20"
"","","","","","","","","","","tax","refund","","","-20"
"ES_purchase","EU purchases(goods and related services)","21%","21%","21.0","percent","purchase","consu","0","tax_group_vat_21","base","invoice","","","+3 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+3 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","-100"
"","","","","","","","","","","base","refund","","","-3 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-3 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343221","-100"
"ESPR","Purchase of services from another EU country - reduced rate","15%","15%","15.0","percent","purchase","service","0","tax_group_vat_15","base","invoice","","","+6 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+6 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343215","-100"
"","","","","","","","","","","base","refund","","","-6 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343115","","-6 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343215","-100"
"ESSP","Purchase of services from another EU country","21%","21%","21.0","percent","purchase","service","0","tax_group_vat_21","base","invoice","","","+5 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+5 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","-100"
"","","","","","","","","","","base","refund","","","-5 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-5 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343221","-100"
"ESSS","Supply of services to another EU country","21%","21%","21.0","percent","sale","service","0","tax_group_vat_21","base","invoice","","","+21"
"","","","","","","","","","","tax","invoice","chart_cz_343221","","+21"
"","","","","","","","","","","tax","invoice","chart_cz_343121","-100"
"","","","","","","","","","","base","refund","","","+21"
"","","","","","","","","","","tax","refund","chart_cz_343221","","+21"
"","","","","","","","","","","tax","refund","chart_cz_343121","-100"
"EZ_sale","EU sales - zero rate","0%","0%","0.0","percent","sale","","0","tax_group_vat_0","base","invoice","","","+20"
"","","","","","","","","","","tax","invoice","","","+20"
"","","","","","","","","","","base","refund","","","-20"
"","","","","","","","","","","tax","refund","","","-20"
"EZ_purchase","EU purchases - zero rate","0%","0%","0.0","percent","purchase","","0","tax_group_vat_0","base","invoice","",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","",""
"I","Purchase of goods from outside of EU","21%","21%","21.0","percent","purchase","consu","0","tax_group_vat_21","base","invoice","","","+7 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+7 (tax)"
"","","","","","","","","","","base","refund","","","-7 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-7 (tax)"
"IE","Imports - exempted goods","0%","0%","0.0","percent","purchase","consu","0","tax_group_vat_0","base","invoice","","","+32"
"","","","","","","","","","","tax","invoice","","","+32"
"","","","","","","","","","","base","refund","","","-32"
"","","","","","","","","","","tax","refund","","","-32"
"IG","Investment gold","0%","0%","0.0","percent","purchase","consu","0","tax_group_vat_0","base","invoice","","","+26"
"","","","","","","","","","","tax","invoice","","","+26"
"","","","","","","","","","","base","refund","","","-26"
"","","","","","","","","","","tax","refund","","","-26"
"IR","Purchase of goods from outside of EU - reduced rate","15%","15%","15.0","percent","purchase","consu","0","tax_group_vat_15","base","invoice","","","+8 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+8 (tax)"
"","","","","","","","","","","base","refund","","","-8 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343115","","-8 (tax)"
"IS","Purchase of services from outside of EU - standard","21%","21%","21.0","percent","purchase","service","0","tax_group_vat_21","base","invoice","","","+12 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+12 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","-100"
"","","","","","","","","","","base","refund","","","-12 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-12 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343221","-100"
"ISR","Purchase of services from outside of EU – reduced","15%","15%","15.0","percent","purchase","service","0","tax_group_vat_15","base","invoice","","","+13 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+13 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343215","-100"
"","","","","","","","","","","base","refund","","","-13 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343115","","-13 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343215","-100"
"ISSR","Purchase of services from outside of EU – special reduced","10%","10%","10.0","percent","purchase","service","0","tax_group_vat_10","base","invoice","","","+13 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343110","","+13 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343210","-100"
"","","","","","","","","","","base","refund","","","-13 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343110","","-13 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343210","-100"
"IZ2_sale","Tax Codes are supported but not provisioned","0%","0%","0.0","percent","sale","","0","tax_group_vat_0","base","invoice","",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","",""
"IZ2_purchase","Tax Codes are supported but not provisioned","0%","0%","0.0","percent","purchase","","0","tax_group_vat_0","base","invoice","",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","",""
"NV","New vehicles","21%","21%","21.0","percent","purchase","consu","0","tax_group_vat_21","base","invoice","","","+9 (base)||+43 (reduced)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+9 (tax)||+43 (reduced)"
"","","","","","","","","","","base","refund","","","-9 (base)||-43 (reduced)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-9 (tax)||-43 (reduced)"
"O","Sale of goods outside of EU","0%","0%","0.0","percent","sale","consu","0","tax_group_vat_0","base","invoice","","","+22"
"","","","","","","","","","","tax","invoice","","","+22"
"","","","","","","","","","","base","refund","","","-22"
"","","","","","","","","","","tax","refund","","","-22"
"OS","Sale of goods outside of EU","0%","0%","0.0","percent","sale","service","0","tax_group_vat_0","base","invoice","","","+26"
"","","","","","","","","","","tax","invoice","","","+26"
"","","","","","","","","","","base","refund","","","-26"
"","","","","","","","","","","tax","refund","","","-26"
"OT","Other taxable transactions – standard rate","21%","21%","21.0","percent","sale","","0","tax_group_vat_21","base","invoice","","","+12 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","","+12 (tax)"
"","","","","","","","","","","base","refund","","","-12 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343221","","-12 (tax)"
"OTR","Other taxable transactions – reduced rate","15%","15%","15.0","percent","sale","","0","tax_group_vat_15","base","invoice","","","+13 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343215","","+13 (tax)"
"","","","","","","","","","","base","refund","","","-13 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343215","","-13 (tax)"
"OTSR","Other taxable transactions – special reduced rate","10%","10%","10.0","percent","sale","","0","tax_group_vat_10","base","invoice","","","+13 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343210","","+13 (tax)"
"","","","","","","","","","","base","refund","","","-13 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343210","","-13 (tax)"
"R_sale","Reduced rate","15%","15%","15.0","percent","sale","","0","tax_group_vat_15","base","invoice","","","+2 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343215","","+2 (base)"
"","","","","","","","","","","base","refund","","","-2 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343215","","-2 (tax)"
"R_purchase","Reduced rate","15%","15%","15.0","percent","purchase","","0","tax_group_vat_15","base","invoice","","","+41 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+41 (amount)"
"","","","","","","","","","","base","refund","","","-41 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343115","","-41 (amount)"
"RC_sale","Reverse charge in country","21%","21%","21.0","percent","sale","","0","tax_group_vat_21","base","invoice","","","+25"
"","","","","","","","","","","tax","invoice","chart_cz_343221","","+25"
"","","","","","","","","","","tax","invoice","chart_cz_343121","-100"
"","","","","","","","","","","base","refund","","","-25"
"","","","","","","","","","","tax","refund","chart_cz_343221","","-25"
"","","","","","","","","","","tax","refund","chart_cz_343121","-100"
"RC_purchase","Reverse charge in country","21%","21%","21.0","percent","purchase","","0","tax_group_vat_21","base","invoice","","","+10 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+10 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","-100"
"","","","","","","","","","","base","refund","","","-10 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-10 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343221","-100"
"RCOND","Other taxable supplies where the tax is nondeductible – standard rate","21%","21%","21.0","percent","purchase","","0","tax_group_vat_21","base","invoice","","","+12 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343121","","+12 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343221","-100"
"","","","","","","","","","","base","refund","","","-12 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343121","","-12 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343221","-100"
"RCOND2","Other taxable supplies where the tax is nondeductible – reduced rate","15%","15%","15.0","percent","purchase","","0","tax_group_vat_15","base","invoice","","","+13 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+13 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343215","-100"
"","","","","","","","","","","base","refund","","","-13 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343115","","-13 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343215","-100"
"RCOND3","Other taxable supplies where the tax is nondeductible – special reduced rate","10%","10%","10.0","percent","purchase","","0","tax_group_vat_10","base","invoice","","","+13 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343110","","+13 (tax)"
"","","","","","","","","","","tax","invoice","chart_cz_343210","-100"
"","","","","","","","","","","base","refund","","","-13 (base)"
"","","","","","","","","","","tax","refund","chart_cz_343110","","-13 (tax)"
"","","","","","","","","","","tax","refund","chart_cz_343210","-100"
"RCR_sale","Reverse charge - Reduced rate","15%","15%","15.0","percent","sale","","0","tax_group_vat_15","base","invoice","","","+25"
"","","","","","","","","","","tax","invoice","chart_cz_343215","","+25"
"","","","","","","","","","","tax","invoice","chart_cz_343115","-100"
"","","","","","","","","","","base","refund","","","-25"
"","","","","","","","","","","tax","refund","chart_cz_343215","","-25"
"","","","","","","","","","","tax","refund","chart_cz_343115","-100"
"RCR_purchase","Reverse charge - Reduced rate","15%","15%","15.0","percent","purchase","","0","tax_group_vat_15","base","invoice","","","+11 (base)"
"","","","","","","","","","","tax","invoice","chart_cz_343115","","+11 (tax)"
