"id","name","code","account_type","note","chart_template_id/id","nocreate","reconcile"
"chartgr_10_00","Land","10","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_01","Gross amount (cost or revaluation) of land","1001","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_10_02","Accumulated impairment","1002","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_00","Depreciable land improvements","11","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_01","Gross amount (cost or revaluation) of depreciable land improvements","1101","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_02","Accumulated depreciation","1102","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_11_03","Accumulated impairment","1103","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_00","Buildings and physical infrastructure","12","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_01","Gross amount (cost or revaluation)","1201","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_02","Accumulated depreciation","1202","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_12_03","Accumulated impairment","1203","asset_fixed","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_00","Machinery","13","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_01","Acquisition cost","1301","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_02","Accumulated depreciation","1302","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_03","Accumulated impairment","1303","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_00","Transportation equipment","14","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_01","Acquisition cost","1401","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_02","Accumulated depreciation","1402","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_03","Accumulated impairment","1403","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_00","Other equipment","15","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_01","Acquisition cost","1501","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_02","Accumulated depreciation","1502","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_03","Accumulated impairment","1503","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_00","Investment property","16","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01","Gross amount (cost or revaluation)","1601","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_02","Accumulated depreciation","1602","asset_non_current","","l10n_gr.l10n_gr_chart_template","False","False"
