"id","l10n_hu_tax_type"
"l10n_hu.F27","VAT"
"l10n_hu.F18","VAT"
"l10n_hu.F5","VAT"
"l10n_hu.FA","ATK"
"l10n_hu.FT","TAM"
"l10n_hu.FKKS","VAT"
"l10n_hu.FKKT","VAT"
"l10n_hu.FF","VAT"
"l10n_hu.FEUSZ","VAT"
"l10n_hu.FEUT","VAT"
"l10n_hu.FEXS","VAT"
"l10n_hu.FEXT","VAT"
"l10n_hu.V27","VAT"
"l10n_hu.V27TE","VAT"
"l10n_hu.V18","VAT"
"l10n_hu.V5","VAT"
"l10n_hu.VKOMP7","VAT"
"l10n_hu.VKOMP12","VAT"
"l10n_hu.VA","AAM"
"l10n_hu.VT","TAM"
"l10n_hu.VKKS","VAT"
"l10n_hu.VKKT","VAT"
"l10n_hu.VF","VAT"
"l10n_hu.VEU27S","VAT"
"l10n_hu.VEU27T","VAT"
"l10n_hu.VEU27TE","VAT"
"l10n_hu.VEUM","VAT"
"l10n_hu.VIMS","VAT"
"l10n_hu.VIMK","VAT"
"l10n_hu.VIM","VAT"
