"code","description","code_type"
"01011010","LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES","l10n_in_hsn"
"01011020","LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES","l10n_in_hsn"
"01011090","LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER","l10n_in_hsn"
"01012910","Horses for polo","l10n_in_hsn"
"01012990","other","l10n_in_hsn"
"01013010","Pure-bred breeding animals","l10n_in_hsn"
"01013020","livestock","l10n_in_hsn"
"01013090","other","l10n_in_hsn"
"01019010","LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO","l10n_in_hsn"
"01019020","LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK","l10n_in_hsn"
"01019030","Mules and hinnies as livestock","l10n_in_hsn"
"01019090","LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - OTHER","l10n_in_hsn"
"01021010","LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT","l10n_in_hsn"
"01021020","LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT","l10n_in_hsn"
"01021030","LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES","l10n_in_hsn"
"01021090","LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER","l10n_in_hsn"
"01022110","Bulls","l10n_in_hsn"
"01022120","Cows","l10n_in_hsn"
"01022910","Bulls","l10n_in_hsn"
"01022990","Other including calves","l10n_in_hsn"
"01029010","LIVE BOVINE ANIMALS - OTHER - BULLS - ADULT","l10n_in_hsn"
"01029020","LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES","l10n_in_hsn"
"01029090","LIVE BOVINE ANIMALS - OTHER - OTHER","l10n_in_hsn"
