id,state_id:id,sequence,code,name,description
port_code_incnb1,base.state_in_an,1,INCNB1,Car-Nicobar,Port code for Car-Nicobar is INCNB1
port_code_incrn1,base.state_in_an,2,INCRN1,Cornwallis,Port code for Cornwallis is INCRN1
port_code_inmyb1,base.state_in_an,3,INMYB1,Mayabandar,Port code for Mayabandar is INMYB1
port_code_inesh1,base.state_in_an,4,INESH1,Elphinstone Harbour ,Port code for Elphinstone Harbour is INESH1
port_code_inrgt1,base.state_in_an,5,INRGT1,Ranghat Bay ,Port code for Ranghat Bay is INRGT1
port_code_inmdw1,base.state_in_an,6,INMDW1,Meadows,Port code for Meadows is INMDW1
port_code_innan1,base.state_in_an,7,INNAN1,Nancowrie,Port code for Nancowrie is INNAN1
port_code_inixz1,base.state_in_an,8,INIXZ1,Port Blair ,Port code for Port Blair is INIXZ1
port_code_inixz4,base.state_in_an,9,INIXZ4,Port Blair ,Port code for Port Blair is INIXZ4
port_code_inhyd4,base.state_in_ap,10,INHYD4,Hyderabad Air Cargo,"Port code for Hyderabad Air Cargois INHYD4
"
port_code_inbnp1,base.state_in_ap,11,INBNP1,Bheemunipatnam,"Port code for Bheemunipatnam is INBNP1
"
port_code_innvp1,base.state_in_ap,12,INNVP1,Navaspur,"Port code for Navaspur is INNVP1
"
port_code_invtz1,base.state_in_ap,13,INVTZ1,Vizac Sea ,"Port code for Vizac Sea is INVTZ1
"
port_code_insrv1,base.state_in_ap,14,INSRV1,Surasani – Yanam ,"Port code for Surasani – Yanam is INSRV1
"
port_code_invtz6,base.state_in_ap,15,INVTZ6,Visakhapatnam (EPZ/SEZ) ,"Port code for Visakhapatnam (EPZ/SEZ) is INVTZ6
"
port_code_invru1,base.state_in_ap,16,INVRU1,Vadarevu,Port code for Vadarevu is INVRU1
port_code_inkak1,base.state_in_ap,17,INKAK1,Kakinada,"Port code for Kakinada is INKAK1
"
port_code_inrpl6,base.state_in_ap,18,INRPL6,Raddipalem,"Port code for Raddipalem is INRPL6
"
port_code_inkdd6,base.state_in_ap,19,INKDD6,Karedu,"Port code for Karedu is INKDD6
"
port_code_invtz4,base.state_in_ap,20,INVTZ4,Vishakapatnam,"Port code for Vishakapatnam is INVTZ4
"
port_code_inapt6,base.state_in_ap,21,INAPT6,Anaparthi,"Port code for Anaparthi is INAPT6
"
port_code_inclx6,base.state_in_ap,22,INCLX6,Chirala,"Port code for Chirala is INCLX6
"
port_code_insnf6,base.state_in_ap,23,INSNF6,Hyderabad,"Port code for Hyderabad is INSNF6
"
port_code_incoi6,base.state_in_ap,24,INCOI6,Kakinada,"Port code for Kakinada is INCOI6
"
port_code_inmap1,base.state_in_ap,25,INMAP1,Masulipatnam,"Port code for Masulipatnam is INMAP1
"
port_code_inkri6,base.state_in_ap,26,INKRI1,Krishnapatnam,"Port code for Krishnapatnam is INKRI1
"
