"id","name","is_threshold","consider_amount","is_per_transaction_limit","per_transaction_limit","is_aggregate_limit","aggregate_limit","aggregate_period","tax_source_type"
"tds_section_192","192","True","untaxed_amount","","","","","","tds"
"tds_section_192a","192A","True","untaxed_amount","","","True","50000","","tds"
"tds_section_193","193","True","untaxed_amount","","","True","5000","","tds"
"tds_section_194","194","True","untaxed_amount","","","True","5000","","tds"
"tds_section_194a","194A","True","untaxed_amount","","","True","5000","","tds"
"tds_section_194b","194B","True","untaxed_amount","","","True","10000","","tds"
"tds_section_194ba","194BA","True","untaxed_amount","","","True","0","","tds"
"tds_section_194bb","194BB","True","untaxed_amount","","","True","10000","","tds"
"tds_section_194c","194C","True","untaxed_amount","True","30000","True","100000","","tds"
"tds_section_194d","194D","True","untaxed_amount","","","True","15000","","tds"
"tds_section_194da","194DA","True","untaxed_amount","","","True","100000","","tds"
"tds_section_194e","194E","True","untaxed_amount","","","True","0","","tds"
"tds_section_194ee","194EE","True","untaxed_amount","","","True","2500","","tds"
"tds_section_194f","194F","True","untaxed_amount","","","True","0","","tds"
"tds_section_194g","194G","True","untaxed_amount","","","True","15000","","tds"
"tds_section_194h","194H","True","untaxed_amount","","","True","15000","","tds"
"tds_section_194i","194I","True","untaxed_amount","","","True","240000","","tds"
"tds_section_194ia","194IA","True","untaxed_amount","True","5000000","","","","tds"
"tds_section_194ib","194IB","True","untaxed_amount","","","True","50000","monthly","tds"
"tds_section_194ic","194IC","True","untaxed_amount","","","True","0","","tds"
"tds_section_194j","194J","True","untaxed_amount","","","True","30000","","tds"
"tds_section_194j_dir","194J(DIRECTORS)","True","untaxed_amount","","","True","0","","tds"
"tds_section_194k","194K","True","untaxed_amount","","","True","5000","","tds"
"tds_section_194la","194LA","True","untaxed_amount","","","True","250000","","tds"
"tds_section_194lba1","194LBA(1)","True","untaxed_amount","","","True","0","","tds"
"tds_section_194lba2","194LBA(2)","True","untaxed_amount","","","True","0","","tds"
"tds_section_194lba3","194LBA(3)","True","untaxed_amount","","","True","0","","tds"
"tds_section_194lbb","194LBB","True","untaxed_amount","","","True","0","","tds"
"tds_section_194lb","194LB","True","untaxed_amount","","","True","0","","tds"
"tds_section_194lbc","194LBC","True","untaxed_amount","","","True","0","","tds"
"tds_section_194lc","194LC","True","untaxed_amount","","","True","0","","tds"
"tds_section_194ld","194LD","True","untaxed_amount","","","True","0","","tds"
"tds_section_194m","194M","True","untaxed_amount","","","True","5000000","","tds"
"tds_section_194n","194N","True","untaxed_amount","","","True","10000000","","tds"
"tds_section_194o_huf","194O(HUF)","True","untaxed_amount","","","True","500000","","tds"
"tds_section_194o","194O","True","untaxed_amount","","","True","0","","tds"
"tds_section_194q","194Q","True","untaxed_amount","","","True","5000000","","tds"
"tds_section_194r","194R","True","untaxed_amount","","","True","20000","","tds"
"tds_section_194s","194S","True","untaxed_amount","","","True","10000","","tds"
"tds_section_196b","196B","True","untaxed_amount","","","True","0","","tds"
"tds_section_196c","196C","True","untaxed_amount","","","True","0","","tds"
"tds_section_196d","196D","True","untaxed_amount","","","True","0","","tds"
"tds_section_195","195","True","untaxed_amount","","","True","0","","tds"
"tcs_section_206c1_alc","206C(1) Liquor","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1_tl","206C(1) Tendu leaves","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1_tim","206C(1) Timber woods(FL)","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1_tim_o","206C(1) Timber woods","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1_fo","206C(1) OFP","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1_sc","206C(1) Scrap","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1_min","206C(1) Min","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1c_p","206C(1C) Parking lot","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1c_t","206C(1C) Toll plaza","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1c_mq","206C(1C) MQ","True","total_amount","","","True","0","","tcs"
"tcs_section_206c1f_mv","206C(1F) Motor Vehicle","True","total_amount","True","1000000","","","","tcs"
"tcs_section_206c1g_r","206C(1G) Remittance","True","total_amount","","","True","700000","","tcs"
"tcs_section_206c1g_ot","206C(1G) Overseas Tour","True","total_amount","","","True","0","","tcs"
"tcs_section206c1h_g","206C(1H)","True","total_amount","","","True","5000000","","tcs"
