id,parent_id:id,code,sign,name,info
lu_tax_code_template_mensuel,,mensuel,1,Schéma selon déclaration mensuelle,
lu_tax_code_template_m_I,lu_tax_code_template_mensuel,m_I,1,I. CALCUL DU CHIFFRE D'AFFAIRE IMPOSABLE,
lu_tax_code_template_m_I_C,lu_tax_code_template_m_I,m022,1,I.C Chiffre d'affaires imposable,
lu_tax_code_template_m012,lu_tax_code_template_m_I_C,m012,1,I.A Chiffre d'affaires global,
lu_tax_code_template_m454,lu_tax_code_template_m012,m454,1,I.A.2. Total des Ventes / Recettes,
lu_tax_code_template_m455,lu_tax_code_template_m012,m455,1,I.A.3. Prélèvements privés de biens et affectations de biens (art. 13),
lu_tax_code_template_m456,lu_tax_code_template_m012,m456,1,I.A.4. Utilisation privée de biens et prélèvements privés de services (art. 16),
lu_tax_code_template_m021,lu_tax_code_template_m_I_C,m021,-1,I.B Exonérations et montants déductibles,
lu_tax_code_template_m457,lu_tax_code_template_m021,m457,1,"I.B.1 Livraisons intracommunautaires de biens à des personnes identifiées à la TVA dans un autre Etat membre (art. 43/1/d,e et f)",
lu_tax_code_template_b_VB-IC-17,lu_tax_code_template_m457,b_VB-IC-17,1,Base - Vente Biens 17% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-15,lu_tax_code_template_m457,b_VB-IC-15,1,Base - Vente Biens 15% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-14,lu_tax_code_template_m457,b_VB-IC-14,1,Base - Vente Biens 14% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-12,lu_tax_code_template_m457,b_VB-IC-12,1,Base - Vente Biens 12% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-8,lu_tax_code_template_m457,b_VB-IC-8,1,Base - Vente Biens 8% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-6,lu_tax_code_template_m457,b_VB-IC-6,1,Base - Vente Biens 6% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-3,lu_tax_code_template_m457,b_VB-IC-3,1,Base - Vente Biens 3% - Intracommunautaire,
lu_tax_code_template_b_VB-IC-0,lu_tax_code_template_m457,b_VB-IC-0,1,Base - Vente Biens 0% - Intracommunautaire,
lu_tax_code_template_m014,lu_tax_code_template_m021,m014,1,I.B.2 Exportations (art. 43/1/a et b),
lu_tax_code_template_b_VB-EC-17,lu_tax_code_template_m014,b_VB-EC-17,1,Base - Vente Biens 17% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-15,lu_tax_code_template_m014,b_VB-EC-15,1,Base - Vente Biens 15% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-14,lu_tax_code_template_m014,b_VB-EC-14,1,Base - Vente Biens 14% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-12,lu_tax_code_template_m014,b_VB-EC-12,1,Base - Vente Biens 12% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-8,lu_tax_code_template_m014,b_VB-EC-8,1,Base - Vente Biens 8% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-6,lu_tax_code_template_m014,b_VB-EC-6,1,Base - Vente Biens 6% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-3,lu_tax_code_template_m014,b_VB-EC-3,1,Base - Vente Biens 3% - Extracommunautaire,
lu_tax_code_template_b_VB-EC-0,lu_tax_code_template_m014,b_VB-EC-0,1,Base - Vente Biens 0% - Extracommunautaire,
lu_tax_code_template_m015,lu_tax_code_template_m021,m015,1,I.B.3 Autres exonérations (art. 43 et 60bits),
lu_tax_code_template_b_V-ART-43,lu_tax_code_template_m015,b_V-ART-43,1,Base - Autres Exonérations (Article 43),
lu_tax_code_template_m016,lu_tax_code_template_m021,m016,1,I.B.4 Autres exonérations (art. 44 et 56quater),
lu_tax_code_template_b_V-ART-44_56q,lu_tax_code_template_m016,b_V-ART-44_56q,1,Base - Autres Exonérations (Article 44 et 56 quater),
lu_tax_code_template_m017,lu_tax_code_template_m021,m017,1,I.B.5 Tabacs fabriqués,
lu_tax_code_template_b_VB-PA-Tab,lu_tax_code_template_m017,b_VB-PA-Tab,1,Base - Vente Biens Tabacs - Pays,
lu_tax_code_template_b_VB-IC-Tab,lu_tax_code_template_m017,b_VB-IC-Tab,1,Base - Vente Biens Tabacs - Intracommunautaire,
lu_tax_code_template_b_VB-EC-Tab,lu_tax_code_template_m017,b_VB-EC-Tab,,Base - Vente Biens Tabacs - Extracommunautaire,
lu_tax_code_template_m_I_B_6,lu_tax_code_template_m021,m_I_B_6,1,I.B.6 Opérations réalisées (imposables) à l'étranger,
lu_tax_code_template_m018,lu_tax_code_template_m_I_B_6,m018,1,"I.B.6.a Livraisons subséquentes à des acquisitions intracommunautaires dans le cadre d'opérations triangulaires, lorsque le destinataire identifié à la TVA dans l'Etat membre de destination des biens y est redevable de la taxe",
lu_tax_code_template_b_VB-TR-17,lu_tax_code_template_m018,b_VB-TR-17,1,Base - Vente Biens 17% - Triangulaire,
lu_tax_code_template_b_VB-TR-15,lu_tax_code_template_m018,b_VB-TR-15,1,Base - Vente Biens 15% - Triangulaire,
lu_tax_code_template_b_VB-TR-14,lu_tax_code_template_m018,b_VB-TR-14,1,Base - Vente Biens 14% - Triangulaire,
lu_tax_code_template_b_VB-TR-12,lu_tax_code_template_m018,b_VB-TR-12,1,Base - Vente Biens 12% - Triangulaire,
lu_tax_code_template_b_VB-TR-8,lu_tax_code_template_m018,b_VB-TR-8,1,Base - Vente Biens 8% - Triangulaire,
lu_tax_code_template_b_VB-TR-6,lu_tax_code_template_m018,b_VB-TR-6,1,Base - Vente Biens 6% - Triangulaire,
lu_tax_code_template_b_VB-TR-3,lu_tax_code_template_m018,b_VB-TR-3,1,Base - Vente Biens 3% - Triangulaire,
lu_tax_code_template_m_I_B_6_b,lu_tax_code_template_m_I_B_6,m_I_B_6_b,1,I.B.6.b Prestations de services à des identifiés à la TVA dans un autre Etat membre,
lu_tax_code_template_m423,lu_tax_code_template_m_I_B_6_b,m423,1,I.B.6.b.1 - non exonérées dans l'Etat membre du preneur redevable (art. 17/1/b),
lu_tax_code_template_b_VP-IC-17,lu_tax_code_template_m423,b_VP-IC-17,1,Base - Vente Prestations 17% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-15,lu_tax_code_template_m423,b_VP-IC-15,1,Base - Vente Prestations 15% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-14,lu_tax_code_template_m423,b_VP-IC-14,1,Base - Vente Prestations 14% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-12,lu_tax_code_template_m423,b_VP-IC-12,1,Base - Vente Prestations 12% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-8,lu_tax_code_template_m423,b_VP-IC-8,1,Base - Vente Prestations 8% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-6,lu_tax_code_template_m423,b_VP-IC-6,1,Base - Vente Prestations 6% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-3,lu_tax_code_template_m423,b_VP-IC-3,1,Base - Vente Prestations 3% - Intracommunautaire,
lu_tax_code_template_b_VP-IC-0,lu_tax_code_template_m423,b_VP-IC-0,1,Base - Vente Prestations 0% - Intracommunautaire,
lu_tax_code_template_m424,lu_tax_code_template_m_I_B_6_b,m424,1,I.B.6.b.2 - exonérées dans l'Etat membre du preneur (art. 17/1/b),
lu_tax_code_template_b_VP-IC-EX,lu_tax_code_template_m424,b_VP-IC-EX,1,Base - Vente Prestations - Intracommunautaire exonérées dans l'état membre,
lu_tax_code_template_m226,lu_tax_code_template_m_I_B_6,m226,1,I.B.6.c Opérations réalisées dans le cadre du régime particulier de l'article 56sexies,
lu_tax_code_template_m019,lu_tax_code_template_m_I_B_6,m019,1,I.B.6.d Autres opérations réalisées (imposables) à l'étranger,
lu_tax_code_template_b_VP-OPER,lu_tax_code_template_m019,b_VP-OPER,1,Base - Vente - Opérations réalisées à l'étranger ,
lu_tax_code_template_b_VP-EC-17,lu_tax_code_template_m019,b_VP-EC-17,1,Base - Vente Prestations 17% - Extracommunautaire,
