id,name,applicability
tag_lu_01,II. AUTRES BASES,taxes
tag_lu_02,II.B. Acquisitions intracommunautaires de biens – base,taxes
tag_lu_11,II.B. base 3%,taxes
tag_lu_12,Base - Achat Biens 3% - Intracommunautaire (+),taxes
tag_lu_13,Base - Frais Biens 3% - Intracommunautaire (+),taxes
tag_lu_14,Base - Investissement Biens 3% - Intracommunautaire (+),taxes
tag_lu_19,II.B. base exonérée,taxes
tag_lu_20,Base - Achat Biens Exonéré - Intracommunautaire,taxes
tag_lu_21,Base - Frais Biens Exonéré - Intracommunautaire,taxes
tag_lu_22,Base - Investissement Biens Exonéré - Intracommunautaire,taxes
tag_lu_23,II.B. base 17%,taxes
tag_lu_24,Base - Achat Biens 17% - Intracommunautaire (+),taxes
tag_lu_25,Base - Frais Biens 17% - Intracommunautaire (+),taxes
tag_lu_26,Base - Investissement Biens 17% - Intracommunautaire (+),taxes
tag_lu_27,II.B. base 14%,taxes
tag_lu_28,Base - Achat Biens 14% - Intracommunautaire (+),taxes
tag_lu_29,Base - Frais Biens 14% - Intracommunautaire (+),taxes
tag_lu_30,Base - Investissement Biens 14% - Intracommunautaire (+),taxes
tag_lu_31,II.B. base 8%,taxes
tag_lu_32,Base - Achat Biens 8% - Intracommunautaire (+),taxes
tag_lu_33,Base - Frais Biens 8% - Intracommunautaire (+),taxes
tag_lu_34,Base - Investissement Biens 8% - Intracommunautaire (+),taxes
tag_lu_35,II.D. Importations de biens – base,taxes
tag_lu_44,II.D.1. base 3%,taxes
tag_lu_45,Base - Achat Biens 3% - Extracommunautaire (+),taxes
tag_lu_46,Base - Frais Biens 3% - Extracommunautaire (+),taxes
tag_lu_47,Base - Investissement Biens 3% - Extracommunautaire (+),taxes
tag_lu_60,II.D.2.. base 3%,taxes
tag_lu_61,Base - Achat Biens 3% - Extracommunautaire fin privées (+),taxes
tag_lu_62,Base - Frais Biens 3% - Extracommunautaire fin privées (+),taxes
tag_lu_63,Base - Investissement Biens 3% - Extracommunautaire fin privées (+),taxes
tag_lu_68,II.D.1. base exonérée,taxes
tag_lu_69,Base - Achat Biens Exonéré - Extracommunautaire,taxes
tag_lu_70,Base - Frais Biens Exonéré - Extracommunautaire,taxes
tag_lu_71,Base - Investissement Biens Exonéré - Extracommunautaire,taxes
tag_lu_72,II.D.2.. base exonérée,taxes
