id,name,tag_name,sequence,parent_line_id/id,formula,code,country_id/id
account_financial_report_lu_1,II. AUTRES BASES,,1,,,,base.lu
account_financial_report_lu_1_1,II.B. Acquisitions intracommunautaires de biens – base,,1,account_financial_report_lu_1,,,base.lu
account_financial_report_lu_1_1_1,II.B. base 15%,,1,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_1_1,Base - Achat Biens 15% - Intracommunautaire (+),Base - Achat Biens 15% - Intracommunautaire (+),1,account_financial_report_lu_1_1_1,,,base.lu
account_financial_report_lu_1_1_1_2,Base - Frais Biens 15% - Intracommunautaire (+),Base - Frais Biens 15% - Intracommunautaire (+),2,account_financial_report_lu_1_1_1,,,base.lu
account_financial_report_lu_1_1_1_3,Base - Investissement Biens 15% - Intracommunautaire (+),Base - Investissement Biens 15% - Intracommunautaire (+),3,account_financial_report_lu_1_1_1,,,base.lu
account_financial_report_lu_1_1_2,II.B. base 6%,,2,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_2_1,Base - Achat Biens 6% - Intracommunautaire (+),Base - Achat Biens 6% - Intracommunautaire (+),1,account_financial_report_lu_1_1_2,,,base.lu
account_financial_report_lu_1_1_2_2,Base - Frais Biens 6% - Intracommunautaire (+),Base - Frais Biens 6% - Intracommunautaire (+),2,account_financial_report_lu_1_1_2,,,base.lu
account_financial_report_lu_1_1_2_3,Base - Investissement Biens 6% - Intracommunautaire (+),Base - Investissement Biens 6% - Intracommunautaire (+),3,account_financial_report_lu_1_1_2,,,base.lu
account_financial_report_lu_1_1_3,II.B. base 3%,,3,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_3_1,Base - Achat Biens 3% - Intracommunautaire (+),Base - Achat Biens 3% - Intracommunautaire (+),1,account_financial_report_lu_1_1_3,,,base.lu
account_financial_report_lu_1_1_3_2,Base - Frais Biens 3% - Intracommunautaire (+),Base - Frais Biens 3% - Intracommunautaire (+),2,account_financial_report_lu_1_1_3,,,base.lu
account_financial_report_lu_1_1_3_3,Base - Investissement Biens 3% - Intracommunautaire (+),Base - Investissement Biens 3% - Intracommunautaire (+),3,account_financial_report_lu_1_1_3,,,base.lu
account_financial_report_lu_1_1_4,II.B. base 12%,,4,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_4_1,Base - Achat Biens 12% - Intracommunautaire (+),Base - Achat Biens 12% - Intracommunautaire (+),1,account_financial_report_lu_1_1_4,,,base.lu
account_financial_report_lu_1_1_4_2,Base - Frais Biens 12% - Intracommunautaire (+),Base - Frais Biens 12% - Intracommunautaire (+),2,account_financial_report_lu_1_1_4,,,base.lu
account_financial_report_lu_1_1_4_3,Base - Investissement Biens 12% - Intracommunautaire (+),Base - Investissement Biens 12% - Intracommunautaire (+),3,account_financial_report_lu_1_1_4,,,base.lu
account_financial_report_lu_1_1_5,II.B. base exonérée,,5,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_5_1,Base - Achat Biens Exonéré - Intracommunautaire,Base - Achat Biens Exonéré - Intracommunautaire,1,account_financial_report_lu_1_1_5,,,base.lu
account_financial_report_lu_1_1_5_2,Base - Frais Biens Exonéré - Intracommunautaire,Base - Frais Biens Exonéré - Intracommunautaire,2,account_financial_report_lu_1_1_5,,,base.lu
account_financial_report_lu_1_1_5_3,Base - Investissement Biens Exonéré - Intracommunautaire,Base - Investissement Biens Exonéré - Intracommunautaire,3,account_financial_report_lu_1_1_5,,,base.lu
account_financial_report_lu_1_1_6,II.B. base 17%,,6,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_6_1,Base - Achat Biens 17% - Intracommunautaire (+),Base - Achat Biens 17% - Intracommunautaire (+),1,account_financial_report_lu_1_1_6,,,base.lu
account_financial_report_lu_1_1_6_2,Base - Frais Biens 17% - Intracommunautaire (+),Base - Frais Biens 17% - Intracommunautaire (+),2,account_financial_report_lu_1_1_6,,,base.lu
account_financial_report_lu_1_1_6_3,Base - Investissement Biens 17% - Intracommunautaire (+),Base - Investissement Biens 17% - Intracommunautaire (+),3,account_financial_report_lu_1_1_6,,,base.lu
account_financial_report_lu_1_1_7,II.B. base 14%,,7,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_7_1,Base - Achat Biens 14% - Intracommunautaire (+),Base - Achat Biens 14% - Intracommunautaire (+),1,account_financial_report_lu_1_1_7,,,base.lu
account_financial_report_lu_1_1_7_2,Base - Frais Biens 14% - Intracommunautaire (+),Base - Frais Biens 14% - Intracommunautaire (+),2,account_financial_report_lu_1_1_7,,,base.lu
account_financial_report_lu_1_1_7_3,Base - Investissement Biens 14% - Intracommunautaire (+),Base - Investissement Biens 14% - Intracommunautaire (+),3,account_financial_report_lu_1_1_7,,,base.lu
account_financial_report_lu_1_1_8,II.B. base 8%,,8,account_financial_report_lu_1_1,,,base.lu
account_financial_report_lu_1_1_8_1,Base - Achat Biens 8% - Intracommunautaire (+),Base - Achat Biens 8% - Intracommunautaire (+),1,account_financial_report_lu_1_1_8,,,base.lu
account_financial_report_lu_1_1_8_2,Base - Frais Biens 8% - Intracommunautaire (+),Base - Frais Biens 8% - Intracommunautaire (+),2,account_financial_report_lu_1_1_8,,,base.lu
account_financial_report_lu_1_1_8_3,Base - Investissement Biens 8% - Intracommunautaire (+),Base - Investissement Biens 8% - Intracommunautaire (+),3,account_financial_report_lu_1_1_8,,,base.lu
account_financial_report_lu_1_2,II.D. Importations de biens – base,,2,account_financial_report_lu_1,,,base.lu
account_financial_report_lu_1_2_1,II.D.1. base 15%,,1,account_financial_report_lu_1_2,,,base.lu
account_financial_report_lu_1_2_1_1,Base - Achat Biens 15% - Extracommunautaire (+),Base - Achat Biens 15% - Extracommunautaire (+),1,account_financial_report_lu_1_2_1,,,base.lu
account_financial_report_lu_1_2_1_2,Base - Frais Biens 15% - Extracommunautaire (+),Base - Frais Biens 15% - Extracommunautaire (+),2,account_financial_report_lu_1_2_1,,,base.lu
account_financial_report_lu_1_2_1_3,Base - Investissement Biens 15% - Extracommunautaire (+),Base - Investissement Biens 15% - Extracommunautaire (+),3,account_financial_report_lu_1_2_1,,,base.lu
account_financial_report_lu_1_2_10,II.D.2.. base exonérée,,10,account_financial_report_lu_1_2,,,base.lu
account_financial_report_lu_1_2_10_1,Base - Achat Biens Exonéré - Extracommunautaire fin privées,Base - Achat Biens Exonéré - Extracommunautaire fin privées,1,account_financial_report_lu_1_2_10,,,base.lu
account_financial_report_lu_1_2_10_2,Base - Frais Biens Exonéré - Extracommunautaire fin privées,Base - Frais Biens Exonéré - Extracommunautaire fin privées,2,account_financial_report_lu_1_2_10,,,base.lu
account_financial_report_lu_1_2_10_3,Base - Investissement Biens Exonéré - Extracommunautaire fin privées,Base - Investissement Biens Exonéré - Extracommunautaire fin privées,3,account_financial_report_lu_1_2_10,,,base.lu
account_financial_report_lu_1_2_11,II.D.1. base 17%,,11,account_financial_report_lu_1_2,,,base.lu
account_financial_report_lu_1_2_11_1,Base - Achat Biens 17% - Extracommunautaire (+),Base - Achat Biens 17% - Extracommunautaire (+),1,account_financial_report_lu_1_2_11,,,base.lu
account_financial_report_lu_1_2_11_2,Base - Frais Biens 17% - Extracommunautaire (+),Base - Frais Biens 17% - Extracommunautaire (+),2,account_financial_report_lu_1_2_11,,,base.lu
account_financial_report_lu_1_2_11_3,Base - Investissement Biens 17% - Extracommunautaire (+),Base - Investissement Biens 17% - Extracommunautaire (+),3,account_financial_report_lu_1_2_11,,,base.lu
account_financial_report_lu_1_2_12,II.D.1. base 14%,,12,account_financial_report_lu_1_2,,,base.lu
account_financial_report_lu_1_2_12_1,Base - Achat Biens 14% - Extracommunautaire (+),Base - Achat Biens 14% - Extracommunautaire (+),1,account_financial_report_lu_1_2_12,,,base.lu
account_financial_report_lu_1_2_12_2,Base - Frais Biens 14% - Extracommunautaire (+),Base - Frais Biens 14% - Extracommunautaire (+),2,account_financial_report_lu_1_2_12,,,base.lu
account_financial_report_lu_1_2_12_3,Base - Investissement Biens 14% - Extracommunautaire (+),Base - Investissement Biens 14% - Extracommunautaire (+),3,account_financial_report_lu_1_2_12,,,base.lu
account_financial_report_lu_1_2_13,II.D.1. base 8%,,13,account_financial_report_lu_1_2,,,base.lu
account_financial_report_lu_1_2_13_1,Base - Achat Biens 8% - Extracommunautaire (+),Base - Achat Biens 8% - Extracommunautaire (+),1,account_financial_report_lu_1_2_13,,,base.lu
