id,name,description,type_tax_use,amount_type,amount,account_id:id,refund_account_id:id,chart_template_id:id,sequence,children_tax_ids:id,tag_ids:id,tax_group_id:id
lu_2011_tax_AB-EC-0,Purchase Goods Exempted - Extra-Community,AB-EC-0,purchase,percent,0,,,lu_2011_chart_1,101,,tag_lu_195,tax_group_0
lu_2015_tax_AB-EC-14-n,Purchase Goods 14% - Extra-Community (-),AB-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1106,,tag_lu_460,tax_group_14
lu_2015_tax_AB-EC-14-p,Purchase Goods 14% - Extra-Community (+),AB-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1107,,tag_lu_724,tax_group_14
lu_2015_tax_AB-EC-14,Purchase Goods 14% - Extra-Community,AB-EC-14,purchase,group,1,,,lu_2011_chart_1,105,"lu_2015_tax_AB-EC-14-n,lu_2015_tax_AB-EC-14-p",tag_lu_723,tax_group_14
lu_2015_tax_AB-EC-17-n,Purchase Goods 17% - Extra-Community (-),AB-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1112,,tag_lu_460,tax_group_17
lu_2015_tax_AB-EC-17-p,Purchase Goods 17% - Extra-Community (+),AB-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1113,,tag_lu_722,tax_group_17
lu_2015_tax_AB-EC-17,Purchase Goods 17% - Extra-Community,AB-EC-17,purchase,group,100,,,lu_2011_chart_1,111,"lu_2015_tax_AB-EC-17-n,lu_2015_tax_AB-EC-17-p",tag_lu_721,tax_group_17
lu_2011_tax_AB-EC-3-n,Purchase Goods 3% - Extra-Community (-),AB-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1115,,tag_lu_460,tax_group_3
lu_2011_tax_AB-EC-3-p,Purchase Goods 3% - Extra-Community (+),AB-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1116,,tag_lu_068,tax_group_3
lu_2011_tax_AB-EC-3,Purchase Goods 3% - Extra-Community,AB-EC-3,purchase,group,100,,,lu_2011_chart_1,114,"lu_2011_tax_AB-EC-3-n,lu_2011_tax_AB-EC-3-p",tag_lu_059,tax_group_3
lu_2015_tax_AB-EC-8-n,Purchase Goods 8% - Extra-Community (-),AB-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1121,,tag_lu_460,tax_group_8
lu_2015_tax_AB-EC-8-p,Purchase Goods 8% - Extra-Community (+),AB-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1122,,tag_lu_726,tax_group_8
lu_2015_tax_AB-EC-8,Purchase Goods 8% - Extra-Community,AB-EC-8,purchase,group,100,,,lu_2011_chart_1,120,"lu_2015_tax_AB-EC-8-n,lu_2015_tax_AB-EC-8-p",tag_lu_725,tax_group_8
lu_2015_tax_AB-ECP-0,Purchase Goods Exempted - Extra-Community fin privées,AB-ECP-0,purchase,percent,0,,,lu_2011_chart_1,123,,tag_lu_196,tax_group_0
lu_2015_tax_AB-ECP-14-n,Purchase Goods 14% - Extra-Community fin privées (-),AB-ECP-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1128,,tag_lu_460,tax_group_14
lu_2015_tax_AB-ECP-14-p,Purchase Goods 14% - Extra-Community fin privées (+),AB-ECP-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1129,,tag_lu_734,tax_group_14
lu_2015_tax_AB-ECP-14,Purchase Goods 14% - Extra-Community fin privées,AB-ECP-14,purchase,group,100,,,lu_2011_chart_1,127,"lu_2015_tax_AB-ECP-14-n,lu_2015_tax_AB-ECP-14-p",tag_lu_733,tax_group_14
lu_2015_tax_AB-ECP-17-n,Purchase Goods 17% - Extra-Community fin privées (-),AB-ECP-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1134,,tag_lu_460,tax_group_17
lu_2015_tax_AB-ECP-17-p,Purchase Goods 17% - Extra-Community fin privées (+),AB-ECP-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1135,,tag_lu_732,tax_group_17
lu_2015_tax_AB-ECP-17,Purchase Goods 17% - Extra-Community fin privées,AB-ECP-17,purchase,group,100,,,lu_2011_chart_1,133,"lu_2015_tax_AB-ECP-17-n,lu_2015_tax_AB-ECP-17-p",tag_lu_731,tax_group_17
lu_2015_tax_AB-ECP-3-n,Purchase Goods 3% - Extra-Community fin privées (-),AB-ECP-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1137,,tag_lu_460,tax_group_3
lu_2015_tax_AB-ECP-3-p,Purchase Goods 3% - Extra-Community fin privées (+),AB-ECP-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1138,,tag_lu_073,tax_group_3
lu_2015_tax_AB-ECP-3,Purchase Goods 3% - Extra-Community fin privées,AB-ECP-3,purchase,group,100,,,lu_2011_chart_1,136,"lu_2015_tax_AB-ECP-3-n,lu_2015_tax_AB-ECP-3-p",tag_lu_063,tax_group_3
lu_2015_tax_AB-ECP-8-n,Purchase Goods 8% - Extra-Community fin privées (-),AB-ECP-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1143,,tag_lu_460,tax_group_8
lu_2015_tax_AB-ECP-8-p,Purchase Goods 8% - Extra-Community fin privées (+),AB-ECP-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1144,,tag_lu_736,tax_group_8
lu_2015_tax_AB-ECP-8,Purchase Goods 8% - Extra-Community fin privées,AB-ECP-8,purchase,group,100,,,lu_2011_chart_1,142,"lu_2015_tax_AB-ECP-8-n,lu_2015_tax_AB-ECP-8-p",tag_lu_735,tax_group_8
lu_2011_tax_AB-IC-0,Purchase Goods Exempted - Intra-Community,AB-IC-0,purchase,percent,0,,,lu_2011_chart_1,145,,tag_lu_194,tax_group_0
lu_2015_tax_AB-IC-14-n,Purchase Goods 14% - Intra-Community (-),AB-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1150,,tag_lu_459,tax_group_14
lu_2015_tax_AB-IC-14-p,Purchase Goods 14% - Intra-Community (+),AB-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1151,,tag_lu_714,tax_group_14
lu_2015_tax_AB-IC-14,Purchase Goods 14% - Intra-Community,AB-IC-14,purchase,group,100,,,lu_2011_chart_1,149,"lu_2015_tax_AB-IC-14-n,lu_2015_tax_AB-IC-14-p",tag_lu_713,tax_group_14
lu_2015_tax_AB-IC-17-n,Purchase Goods 17% - Intra-Community (-),AB-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1156,,tag_lu_459,tax_group_17
lu_2015_tax_AB-IC-17-p,Purchase Goods 17% - Intra-Community (+),AB-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1157,,tag_lu_712,tax_group_17
lu_2015_tax_AB-IC-17,Purchase Goods 17% - Intra-Community,AB-IC-17,purchase,group,100,,,lu_2011_chart_1,155,"lu_2015_tax_AB-IC-17-n,lu_2015_tax_AB-IC-17-p",tag_lu_711,tax_group_17
lu_2011_tax_AB-IC-3-n,Purchase Goods 3% - Intra-Community (-),AB-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1159,,tag_lu_459,tax_group_3
lu_2011_tax_AB-IC-3-p,Purchase Goods 3% - Intra-Community (+),AB-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1160,,tag_lu_054,tax_group_3
lu_2011_tax_AB-IC-3,Purchase Goods 3% - Intra-Community,AB-IC-3,purchase,group,100,,,lu_2011_chart_1,158,"lu_2011_tax_AB-IC-3-n,lu_2011_tax_AB-IC-3-p",tag_lu_049,tax_group_3
lu_2015_tax_AB-IC-8-n,Purchase Goods 8% - Intra-Community (-),AB-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1165,,tag_lu_459,tax_group_8
lu_2015_tax_AB-IC-8-p,Purchase Goods 8% - Intra-Community (+),AB-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1166,,tag_lu_716,tax_group_8
lu_2015_tax_AB-IC-8,Purchase Goods 8% - Intra-Community,AB-IC-8,purchase,group,100,,,lu_2011_chart_1,164,"lu_2015_tax_AB-IC-8-n,lu_2015_tax_AB-IC-8-p",tag_lu_715,tax_group_8
lu_2011_tax_AB-PA-0,Purchase Goods 0% - Country,AB-PA-0,purchase,percent,0,,,lu_2011_chart_1,167,,tag_lu_220,tax_group_0
lu_2015_tax_AB-PA-14,Purchase Goods 14% - Country,AB-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,169,,"tag_lu_222,tag_lu_458",tax_group_14
lu_2015_tax_AB-PA-17,Purchase Goods 17% - Country,AB-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,171,,"tag_lu_224,tag_lu_458",tax_group_17
lu_2011_tax_AB-PA-3,Purchase Goods 3% - Country,AB-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,172,,"tag_lu_225,tag_lu_458",tax_group_3
lu_2015_tax_AB-PA-8,Purchase Goods 8% - Country,AB-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,174,,"tag_lu_458,tag_lu_227",tax_group_8
