"id","name","applicability"
"tag_si_01","Znesek osnov za DDV","taxes"
"tag_si_02","- neodbitni DDV","taxes"
"tag_si_03","- vstopni DDV","taxes"
"tag_si_04","Nabave po osnovni stopnji DDV","taxes"
"tag_si_05","Nabave po znižani stopnji DDV","taxes"
"tag_si_06","- odbitni DDV","taxes"
"tag_si_07","- izstopni DDV","taxes"
"tag_si_08","Prodaja oproščena DDV","taxes"
"tag_si_09","Prodaja po osnovni stopnji DDV","taxes"
"tag_si_10","Prodaja po znižani stopnji DDV","taxes"
"tag_si_11","- vstopni DDV","taxes"
"tag_si_12","Nabave oproščene DDV","taxes"
"tag_si_13","Nabave po osnovni stopnji DDV","taxes"
"tag_si_14","Nabave po znižani stopnji DDV","taxes"
"tag_si_15","Znesek DDV","taxes"
"tag_si_16","- neodbitni DDV","taxes"
"tag_si_17","- vstopni DDV","taxes"
"tag_si_18","Neodbitni DDV – osnovna stopnja","taxes"
"tag_si_19","Neodbitni DDV – znižana stopnja","taxes"
"tag_si_20","- odbitni DDV","taxes"
"tag_si_21","- izstopni DDV","taxes"
"tag_si_22","Izstopni DDV - osnovna stopnja","taxes"
"tag_si_23","Izstopni DDV - osnovna stopnja - bis (because DDV_I_20_SO needs to have the oposite sign)","taxes"
"tag_si_24","Izstopni DDV - znižana stopnja","taxes"
"tag_si_25","Izstopni DDV - znižana stopnja bis (same reason as above)","taxes"
"tag_si_26","- vstopni DDV","taxes"
"tag_si_27","Vstopni DDV - osnovna stopnja","taxes"
"tag_si_28","Vstopni DDV - znižana stopnja","taxes"
