"id","code","name","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_si_000","000","Dobro ime","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_001","001","Usredstveni stroški naložb v tuja opredmetena osnovna sredstva","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_002","002","Odloženi stroški razvijanja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_003","003","Premoženjske in druge pravice","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_005","005","Druga neopredmetena sredstva (tudi emisijski kuponi)","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_007","007","Dolgoročne aktivne časovne razmejitve","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_008","008","Popravek vrednosti neopredmetenih sredstev zaradi amortiziranja","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_009","009","Oslabitev vrednosti neopredmetenih sredstev","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_010","010","Naložbene nepremičnine, vrednotene po modelu nabavne vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_011","011","Naložbene nepremičnine, vrednotene po modelu poštene vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_015","015","Popravek vrednosti naložbenih nepremičnin zaradi amortiziranja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_017","017","Naložbene nepremičnine v gradnji oziroma izdelavi","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_019","019","Oslabitev vrednosti naložbenih nepremičnin","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_020","020","Zemljišča, vrednotena po modelu nabavne vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_021","021","Zgradbe, vrednotene po modelu nabavne vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_022","022","Zemljišča, vrednotena po modelu revaloriziranja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_023","023","Zgradbe, vrednotene po modelu revaloriziranja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_026","026","Vlaganja v nepremičnine v tuji lasti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_027","027","Nepremičnine v gradnji oziroma izdelavi","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_031","031","Oslabitev vrednosti zemljišč","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_032","032","Popravek vrednosti zemljišč (kamnolomov, odlagališč odpadkov) zaradi amortiziranja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_035","035","Popravek vrednosti zgradb zaradi amortiziranja","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_036","036","Popravek vrednosti vlaganj v nepremičnine v tuji lasti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_039","039","Oslabitev vrednosti zgradb","account.data_account_type_depreciation","l10n_si.l10n_si_chart_template","","False"
"l10n_si_040","040","Oprema in nadomestni deli, vrednoteni po modelu nabavne vrednosti","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
"l10n_si_041","041","Drobni inventar","account.data_account_type_non_current_assets","l10n_si.l10n_si_chart_template","","False"
