id,code_prefix_start,code_prefix_end,name,chart_template_id/id
"l10n_si_group_0","0",,"DOLGOROČNA SREDSTVA","l10n_si.l10n_si_chart_template"
"l10n_si_group_00","00",,"Neopredmetena sredstva in dolgoročne aktivne časovne razmejitve","l10n_si.l10n_si_chart_template"
"l10n_si_group_01","01",,"Naložbene nepremičnine","l10n_si.l10n_si_chart_template"
"l10n_si_group_02","02",,"Nepremičnine","l10n_si.l10n_si_chart_template"
"l10n_si_group_03","03",,"Popravek in oslabitev vrednosti nepremičnin","l10n_si.l10n_si_chart_template"
"l10n_si_group_04","04",,"Oprema in druga opredmetena osnovna sredstva","l10n_si.l10n_si_chart_template"
"l10n_si_group_05","05",,"Popravek in oslabitev vrednosti opreme in drugih opredmetenih osnovnih sredstev","l10n_si.l10n_si_chart_template"
"l10n_si_group_06","06",,"Dolgoročne finančne naložbe, razen posojil","l10n_si.l10n_si_chart_template"
"l10n_si_group_07","07",,"Dana dolgoročna posojila in terjatve za nevplačani vpoklicani kapital","l10n_si.l10n_si_chart_template"
"l10n_si_group_08","08",,"Dolgoročne poslovne terjatve","l10n_si.l10n_si_chart_template"
"l10n_si_group_09","09",,"Odložene terjatve za davek","l10n_si.l10n_si_chart_template"
"l10n_si_group_1","1",," KRATKOROČNA SREDSTVA, RAZEN ZALOG, IN KRATKOROČNE AKTIVNE ČASOVNE RAZMEJITVE","l10n_si.l10n_si_chart_template"
"l10n_si_group_10","10",,"Denarna sredstva v blagajni in takoj udenarljivi vrednostni papirji","l10n_si.l10n_si_chart_template"
"l10n_si_group_11","11",,"Dobroimetje pri bankah in drugih finančnih inštitucijah","l10n_si.l10n_si_chart_template"
"l10n_si_group_12","12",,"Kratkoročne terjatve do kupcev","l10n_si.l10n_si_chart_template"
"l10n_si_group_13","13",,"Dani kratkoročni predujmi in varščine","l10n_si.l10n_si_chart_template"
"l10n_si_group_14","14",,"Kratkoročne terjatve iz poslovanja za tuj račun","l10n_si.l10n_si_chart_template"
"l10n_si_group_15","15",,"Kratkoročne terjatve, povezane s finančnimi prihodki","l10n_si.l10n_si_chart_template"
"l10n_si_group_16","16",,"Druge kratkoročne terjatve","l10n_si.l10n_si_chart_template"
"l10n_si_group_17","17",,"Kratkoročne finančne naložbe, razen posojil","l10n_si.l10n_si_chart_template"
"l10n_si_group_18","18",,"Kratkoročna posojila in kratkoročne terjatve za nevplačani kapital","l10n_si.l10n_si_chart_template"
"l10n_si_group_19","19",,"Kratkoročne aktivne časovne razmejitve","l10n_si.l10n_si_chart_template"
"l10n_si_group_2","2",,"KRATKOROČNE OBVEZNOSTI (DOLGOVI) IN KRATKOROČNE PASIVNE ČASOVNE RAZMEJITVE","l10n_si.l10n_si_chart_template"
"l10n_si_group_21","21",,"Obveznosti, vključene v skupine za odtujitev","l10n_si.l10n_si_chart_template"
"l10n_si_group_22","22",,"Kratkoročne obveznosti (dolgovi) do dobaviteljev","l10n_si.l10n_si_chart_template"
"l10n_si_group_23","23",,"Prejeti kratkoročni predujmi in varščine","l10n_si.l10n_si_chart_template"
"l10n_si_group_24","24",,"Kratkoročne obveznosti iz poslovanja za tuj račun","l10n_si.l10n_si_chart_template"
"l10n_si_group_25","25",,"Kratkoročne obveznosti za plače","l10n_si.l10n_si_chart_template"
"l10n_si_group_26","26",,"Obveznosti do državnih in drugih inštitucij","l10n_si.l10n_si_chart_template"
"l10n_si_group_27","27",,"Kratkoročne finančne obveznosti","l10n_si.l10n_si_chart_template"
"l10n_si_group_28","28",,"Druge kratkoročne obveznosti","l10n_si.l10n_si_chart_template"
"l10n_si_group_29","29",,"Kratkoročne pasivne časovne razmejitve","l10n_si.l10n_si_chart_template"
"l10n_si_group_3","3",,"ZALOGE SUROVIN IN MATERIALA","l10n_si.l10n_si_chart_template"
"l10n_si_group_30","30",,"Obračun nabave surovin in materiala (tudi drobnega inventarja in embalaže)","l10n_si.l10n_si_chart_template"
"l10n_si_group_31","31",,"Zaloge surovin in materiala","l10n_si.l10n_si_chart_template"
"l10n_si_group_32","32",,"Zaloge drobnega inventarja in embalaže","l10n_si.l10n_si_chart_template"
"l10n_si_group_4","4",,"STROŠKI","l10n_si.l10n_si_chart_template"
"l10n_si_group_40","40",,"Stroški materiala","l10n_si.l10n_si_chart_template"
"l10n_si_group_41","41",,"Stroški storitev","l10n_si.l10n_si_chart_template"
"l10n_si_group_43","43",,"Amortizacija","l10n_si.l10n_si_chart_template"
"l10n_si_group_44","44",,"Rezervacije","l10n_si.l10n_si_chart_template"
"l10n_si_group_45","45",,"Stroški obresti","l10n_si.l10n_si_chart_template"
"l10n_si_group_47","47",,"Stroški dela","l10n_si.l10n_si_chart_template"
"l10n_si_group_48","48",,"Drugi stroški","l10n_si.l10n_si_chart_template"
"l10n_si_group_49","49",,"Prenos stroškov","l10n_si.l10n_si_chart_template"
"l10n_si_group_6","6",,"ZALOGE PROIZVODOV, STORITEV, BLAGA IN NEKRATKOROČNIH SREDSTEV (SKUPINE ZA ODTUJITEV) ZA PRODAJO","l10n_si.l10n_si_chart_template"
"l10n_si_group_60","60",,"Nedokončane proizvodnja in storitve","l10n_si.l10n_si_chart_template"
"l10n_si_group_61","61",,"Zaloge pridelkov (pospravljenih) iz bioloških sredstev","l10n_si.l10n_si_chart_template"
"l10n_si_group_63","63",,"Proizvodi","l10n_si.l10n_si_chart_template"
"l10n_si_group_65","65",,"Obračun nabave blaga","l10n_si.l10n_si_chart_template"
"l10n_si_group_66","66",,"Zaloge blaga","l10n_si.l10n_si_chart_template"
