id,code_prefix_start,code_prefix_end,name,chart_template_id/id
pcg_group_1,1,,"Comptes de ressources durables",l10n_syscohada.syscohada_chart_template
pcg_group_10,10,,"Capital",l10n_syscohada.syscohada_chart_template
pcg_group_101,101,,"Capital social",l10n_syscohada.syscohada_chart_template
pcg_group_102,102,,"Capital par dotation",l10n_syscohada.syscohada_chart_template
pcg_group_103,103,,"Capital personnel",l10n_syscohada.syscohada_chart_template
pcg_group_104,104,,"Capital de l'exploitant",l10n_syscohada.syscohada_chart_template
pcg_group_105,105,,"Primes liées au capital social",l10n_syscohada.syscohada_chart_template
pcg_group_106,106,,"Ecarts de réévaluation",l10n_syscohada.syscohada_chart_template
pcg_group_109,109,,"Apporteurs, capital souscrit, non appelé",l10n_syscohada.syscohada_chart_template
pcg_group_11,11,,"Réserves",l10n_syscohada.syscohada_chart_template
pcg_group_111,111,,"Réserve légale",l10n_syscohada.syscohada_chart_template
pcg_group_112,112,,"Réserves statutaires ou contractuelles",l10n_syscohada.syscohada_chart_template
pcg_group_113,113,,"Réserves réglementées",l10n_syscohada.syscohada_chart_template
pcg_group_114,118,,"Autres réserves",l10n_syscohada.syscohada_chart_template
pcg_group_12,12,,"Report à nouveau",l10n_syscohada.syscohada_chart_template
pcg_group_121,121,,"Report à nouveau créditeur",l10n_syscohada.syscohada_chart_template
pcg_group_129,129,,"Report à nouveau débiteur",l10n_syscohada.syscohada_chart_template
pcg_group_13,13,,"Résultat net de l'excercice",l10n_syscohada.syscohada_chart_template
pcg_group_130,130,,"Résultat en instance d'affectation",l10n_syscohada.syscohada_chart_template
pcg_group_131,131,,"Résultat net : bénéfice",l10n_syscohada.syscohada_chart_template
pcg_group_132,132,,"Marge commerciale",l10n_syscohada.syscohada_chart_template
pcg_group_133,133,,"Valeur ajoutée",l10n_syscohada.syscohada_chart_template
pcg_group_134,134,,"Excédent brut d'exploitation",l10n_syscohada.syscohada_chart_template
pcg_group_135,135,,"Résultat d'exploitation",l10n_syscohada.syscohada_chart_template
pcg_group_136,136,,"Résultat financier",l10n_syscohada.syscohada_chart_template
pcg_group_137,137,,"Résultat des activités ordinaires",l10n_syscohada.syscohada_chart_template
pcg_group_138,138,,"Résultat hors activités ordinaires",l10n_syscohada.syscohada_chart_template
pcg_group_139,139,,"Résultat net : perte",l10n_syscohada.syscohada_chart_template
pcg_group_14,14,,"Subventions d'investissement",l10n_syscohada.syscohada_chart_template
pcg_group_141,141,,"Subventions d'équipement",l10n_syscohada.syscohada_chart_template
pcg_group_148,148,,"Autres subventions d'investissement",l10n_syscohada.syscohada_chart_template
pcg_group_15,15,,"Provisions réglementées et fonds assimilés",l10n_syscohada.syscohada_chart_template
pcg_group_151,151,,"Amortissements dérogatoires",l10n_syscohada.syscohada_chart_template
pcg_group_152,152,,"Plus-values de cession à réinvestir",l10n_syscohada.syscohada_chart_template
pcg_group_153,153,,"Fonds réglementés",l10n_syscohada.syscohada_chart_template
pcg_group_154,154,,"Provisions spéciales de réévaluation",l10n_syscohada.syscohada_chart_template
pcg_group_155,155,,"Provisions réglementées relatives aux immobilisations",l10n_syscohada.syscohada_chart_template
pcg_group_156,156,,"Provisions réglementées relatives aux stocks",l10n_syscohada.syscohada_chart_template
pcg_group_157,157,,"Provisions pour investissement",l10n_syscohada.syscohada_chart_template
pcg_group_158,158,,"Autres provisions et fonds réglementés",l10n_syscohada.syscohada_chart_template
pcg_group_16,16,,"Emprunts et dettes assimilées",l10n_syscohada.syscohada_chart_template
pcg_group_161,161,,"Emprunts obligataires",l10n_syscohada.syscohada_chart_template
pcg_group_162,162,,"Emprunts et dettes auprès des établissements de crédit",l10n_syscohada.syscohada_chart_template
pcg_group_163,163,,"Avances reçues de l'Etat",l10n_syscohada.syscohada_chart_template
pcg_group_164,164,,"Avances reçues et comptes courants bloqués",l10n_syscohada.syscohada_chart_template
pcg_group_165,165,,"Dépots et cautionnements reçus",l10n_syscohada.syscohada_chart_template
pcg_group_166,166,,"Intérêts courus",l10n_syscohada.syscohada_chart_template
