name|area_id/id
KARASOKU MAH|semt_01010_yagcami
KAYALIBAĞ MAH|semt_01010_yagcami
TEPEBAĞ MAH|semt_01010_yagcami
ULUCAMİİ MAH|semt_01010_yagcami
ALİDEDE MAH|semt_01020_hukumet
BEŞOCAK MAH|semt_01020_hukumet
MESTANZADE MAH|semt_01020_hukumet
SARIYAKUP MAH|semt_01020_hukumet
ŞEHİTDURAN MAH|semt_01020_hukumet
TÜRKOCAĞI MAH|semt_01020_hukumet
YENİBEY MAH|semt_01020_hukumet
BARBAROS MAH|semt_01030_saydam
BEY MAH|semt_01030_saydam
HAVUZLUBAHÇE MAH|semt_01030_saydam
HÜRRİYET MAH|semt_01030_saydam
MIDIK MAH|semt_01030_saydam
SUCUZADE MAH|semt_01030_saydam
AKKAPI MAH|semt_01040_akkapi
DAĞLIOĞLU MAH|semt_01040_akkapi
GÜLBAHÇESİ MAH|semt_01050_gulbahcesi
ÇINARLI MAH|semt_01060_kurukopru
DÖŞEME MAH|semt_01060_kurukopru
HANEDAN MAH|semt_01060_kurukopru
HURMALI MAH|semt_01060_kurukopru
İSTİKLAL MAH|semt_01060_kurukopru
KOCAVEZİR MAH|semt_01060_kurukopru
KURUKÖPRÜ MAH|semt_01060_kurukopru
DUMLUPINAR MAH|semt_01070_meydan
GÜLPINAR MAH|semt_01070_meydan
MEYDAN MAH|semt_01070_meydan
MİRZAÇELEBİ MAH|semt_01070_meydan
YEŞİLYUVA MAH|semt_01070_meydan
EMEK MAH|semt_01080_emek
OVA MAH|semt_01080_emek
ŞAKİRPAŞA MAH|semt_01080_emek
UÇAK MAH|semt_01080_emek
ONUR MAH|semt_01100_sakirpasa
YEŞİLOBA MAH|semt_01100_sakirpasa
SARIHAMZALI MAH|semt_01110_yesiloba
SÖĞÜTLÜ MAH|semt_01110_yesiloba
CEMALPAŞA MAH|semt_01120_gazipasa
REŞATBEY MAH|semt_01120_gazipasa
AHMET REMZİ YÜREĞİR MAH|semt_01130_denizli
DENİZLİ MAH|semt_01130_denizli
KURTULUŞ MAH|semt_01130_denizli
MİTHATPAŞA MAH|semt_01130_denizli
SAKARYA MAH|semt_01130_denizli
GAZİPAŞA MAH|semt_01140_ziyapasa
NAMIK KEMAL MAH|semt_01140_ziyapasa
SÜMER MAH|semt_01140_ziyapasa
ZİYAPAŞA MAH|semt_01140_ziyapasa
YENİBARAJ MAH|semt_01150_yesilyurt
YEŞİLYURT MAH|semt_01150_yesilyurt
FATİH MAH|semt_01160_mavi_bulvar_yurt
PINAR MAH|semt_01160_mavi_bulvar_yurt
TELLİDERE MAH|semt_01160_mavi_bulvar_yurt
BEYAZEVLER MAH|semt_01170_mahfesigmaz
BOZCALAR MAH|semt_01170_mahfesigmaz
DÖRTLER MAH|semt_01170_mahfesigmaz
ESENTEPE MAH|semt_01170_mahfesigmaz
FADIL MAH|semt_01170_mahfesigmaz
GÖKKUYU MAH|semt_01170_mahfesigmaz
GÜZELYALI MAH|semt_01170_mahfesigmaz
KABASAKAL MAH|semt_01170_mahfesigmaz
KARAHAN MAH|semt_01170_mahfesigmaz
KARSLILAR MAH|semt_01170_mahfesigmaz
KAŞOBA MAH|semt_01170_mahfesigmaz
KOCATEPE MAH|semt_01170_mahfesigmaz
KÜÇÜKÇINAR MAH|semt_01170_mahfesigmaz
KURTTEPE MAH|semt_01170_mahfesigmaz
MAHFESIĞMAZ MAH|semt_01170_mahfesigmaz
MEMİŞLİ MAH|semt_01170_mahfesigmaz
ÖRCÜN MAH|semt_01170_mahfesigmaz
PİRİLİ MAH|semt_01170_mahfesigmaz
ŞAMBAYADI MAH|semt_01170_mahfesigmaz
SÖĞÜTLÜ MAH|semt_01170_mahfesigmaz
TOROS MAH|semt_01170_mahfesigmaz
YENİ MAH|semt_01170_mahfesigmaz
YURT MAH|semt_01170_mahfesigmaz
DEMETEVLER MAH|semt_01180_yesilevler
