"id","code","name","account_type","reconcile","chart_template_id:id"
"ua_psbp_100",100,"Investment properties","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_101",101,"Real estate","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_102",102,"Expenditure on land improvements","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_103",103,"Buildings and structures","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_104",104,"Machines and equipment","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_105",105,"Transportation","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_106",106,"Other fixtures and fittings, tools and equipments","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_107",107,"Animals","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_108",108,"Perennial lands","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1091",1091,"Other fixed assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1092",1092,"Fixed assets intended for sale","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_111",111,"Library Funds","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_112",112,"Low-value non-current tangible assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_113",113,"Temporary (untitled) buildings","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_114",114,"Natural resources","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_115",115,"Packing stock","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_116",116,"Rental items","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1171",1171,"Other non-current tangible assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1172",1172,"Non-current tangible assets intended for sell","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_121",121,"Rights to use natural resources","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_122",122,"Property usage rights","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_123",123,"Rights of commercial designations","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_124",124,"Industrial property rights","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_125",125,"Copyright and related rights","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_127",127,"Other intangible assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_131",131,"Deprecation of fixed assets","expense_depreciation",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_132",132,"Deprecation of other non-current tangible assets","expense_depreciation",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_133",133,"Accumulated depreciation of intangible assets","expense_depreciation",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_134",134,"Accumulated depreciation of long-term biological assets","expense_depreciation",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_135",135,"Deprecation of real estate","expense_depreciation",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_141",141,"Investments involving parties by accounting for participation in capital","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_142",142,"Shares in affiliated undertakings","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_143",143,"Investments in unrelated parties","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_151",151,"Capital invested in construction","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1521",1521,"Purchase of fixed assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1522",1522,"Production and modernization of fixed assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1531",1531,"Purchase of other non-current tangible assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1532",1532,"Manufacturing and upgrading other non-current fixed assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1541",1541,"Acquisition of intangible assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_1542",1542,"Production of intangible assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_155",155,"Acquisition (cultivation) of long-term biological assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_161",161,"Long-term biological assets of crops which are estimated at fair cost","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_162",162,"Long-term biological assets of crops which are estimated at original cost","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_163",163,"Long-term biological assets of animal husbandry which are estimated at fair cost","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_164",164,"Long-term biological assets of animal husbandry which are estimated at original cost","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_165",165,"Immature long-term biological assets evaluated at fair cost","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_166",166,"Unmature long-term biological assets evaluated at original cost","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_17",17,"Deferred tax assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_181",181,"Lease debts","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_182",182,"Long-term bills received","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_183",183,"Other receivables","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_184",184,"Other non-current assets","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_191",191,"Goodwill upon acquisition","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_192",192,"Negative Goodwill","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
"ua_psbp_193",193,"Goodwill during privatization (corporatization)","asset_fixed",FALSE,"l10n_ua_psbo_chart_template"
