id,name,applicability,country_id:id
cash_flow_operating_01_dr,"CF:[1] Receipts from sales of goods and provision of services (debit)",accounts,
cash_flow_operating_01_cr,"CF:[1] Receipts from sales of goods and provision of services (credit)",accounts,
cash_flow_operating_02_dr,"CF:[2] Payments to suppliers (debit)",accounts,
cash_flow_operating_02_cr,"CF:[2] Payments to suppliers (credit)",accounts,
cash_flow_operating_03_dr,"CF:[3] Payments to employees (debit)",accounts,
cash_flow_operating_03_cr,"CF:[3] Payments to employees (credit)",accounts,
cash_flow_operating_04_dr,"CF:[4] Paid interest (debit)",accounts,
cash_flow_operating_04_cr,"CF:[4] Paid interest (credit)",accounts,
cash_flow_operating_05_dr,"CF:[5] Company income tax paid (debit)",accounts,
cash_flow_operating_05_cr,"CF:[5] Company income tax paid (credit)",accounts,
cash_flow_operating_06_dr,"CF:[6] Other receipts from operating activities (debit)",accounts,
cash_flow_operating_06_cr,"CF:[6] Other receipts from operating activities (credit)",accounts,
cash_flow_operating_07_dr,"CF:[7] Other payments for operating activities (debit)",accounts,
cash_flow_operating_07_cr,"CF:[7] Other payments for operating activities (credit)",accounts,
cash_flow_investing_21_dr,"CF:[21] Payments for additions to fixed assets and other long-term assets (debit)",accounts,
cash_flow_investing_21_cr,"CF:[21] Payments for additions to fixed assets and other long-term assets (credit)",accounts,
cash_flow_investing_22_dr,"CF:[22] Collections on disposals of fixed assets and other long-term assets (debit)",accounts,
cash_flow_investing_22_cr,"CF:[22] Collections on disposals of fixed assets and other long-term assets (credit)",accounts,
cash_flow_investing_22_1_dr,"CF:[22.1] Collections from selling long-term assets (debit)",accounts,
cash_flow_investing_22_1_cr,"CF:[22.1] Collections from selling long-term assets (credit)",accounts,
cash_flow_investing_22_2_dr,"CF:[22.2] Fees from selling long-term assets (debit)",accounts,
cash_flow_investing_22_2_cr,"CF:[22.2] Fees from selling long-term assets (credit)",accounts,
cash_flow_investing_23_dr,"CF:[23] Granting loans, buying debt instruments of other entities (debit)",accounts,
cash_flow_investing_23_cr,"CF:[23] Granting loans, buying debt instruments of other entities (credit)",accounts,
cash_flow_investing_24_dr,"CF:[24] Recovery of loan given and disposals of debt instruments of other entities (debit)",accounts,
cash_flow_investing_24_cr,"CF:[24] Recovery of loan given and disposals of debt instruments of other entities (credit)",accounts,
cash_flow_investing_25_dr,"CF:[25] Investments in equity of other entities (debit)",accounts,
cash_flow_investing_25_cr,"CF:[25] Investments in equity of other entities (credit)",accounts,
cash_flow_investing_26_dr,"CF:[26] Withdrawals of investments in other entities (debit)",accounts,
cash_flow_investing_26_cr,"CF:[26] Withdrawals of investments in other entities (credit)",accounts,
cash_flow_investing_27_dr,"CF:[27] Interests, dividends and profits distributed (debit)",accounts,
cash_flow_investing_27_cr,"CF:[27] Interests, dividends and profits distributed (credit)",accounts,
cash_flow_financing_31_dr,"CF:[31] Collection on share issuance and capital contributions from shareholders (debit)",accounts,
cash_flow_financing_31_cr,"CF:[31] Collection on share issuance and capital contributions from shareholders (credit)",accounts,
cash_flow_financing_32_dr,"CF:[32] Returning Owner's capital in cash and Purchasing Treasury Stocks (debit)",accounts,
cash_flow_financing_32_cr,"CF:[32] Returning Owner's capital in cash and Purchasing Treasury Stocks (credit)",accounts,
cash_flow_financing_33_dr,"CF:[33] Receipts from borrowings (debit)",accounts,
cash_flow_financing_33_cr,"CF:[33] Receipts from borrowings (credit)",accounts,
cash_flow_financing_33_1_dr,"CF:[33.1] Borrowings from loans (debit)",accounts,
cash_flow_financing_33_1_cr,"CF:[33.1] Borrowings from loans (credit)",accounts,
cash_flow_financing_33_2_dr,"CF:[33.2] Borrowings from issuing shares (debit)",accounts,
cash_flow_financing_33_2_cr,"CF:[33.2] Borrowings from issuing shares (credit)",accounts,
cash_flow_financing_34_dr,"CF:[34] Payments to settle loan principals (debit)",accounts,
cash_flow_financing_34_cr,"CF:[34] Payments to settle loan principals (credit)",accounts,
cash_flow_financing_35_dr,"CF:[35] Payments to settle financial lease principals (debit)",accounts,
cash_flow_financing_35_cr,"CF:[35] Payments to settle financial lease principals (credit)",accounts,
cash_flow_financing_36_dr,"CF:[36] Dividends, profits distributed (debit)",accounts,
cash_flow_financing_36_cr,"CF:[36] Dividends, profits distributed (credit)",accounts,
cash_flow_financing_61_dr,"CF:[61] Currency translation differences (debit)",accounts,
cash_flow_financing_61_cr,"CF:[61] Currency translation differences (credit)",accounts,
