"id","sequence","name","auto_apply","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_national","1","National","1","base.zm",,
"fiscal_position_template_international","2","International","1",,"zm_tax_sale_0","zm_tax_sale_export_0"
,,,,,"zm_tax_sale_16","zm_tax_sale_export_0"
,,,,,"zm_tax_sale_20","zm_tax_sale_export_0"
,,,,,"zm_tax_sale_30","zm_tax_sale_export_0"
,,,,,"zm_tax_sale_375","zm_tax_sale_export_0"
,,,,,"zm_tax_purchase_0","zm_tax_purchase_import_16"
,,,,,"zm_tax_purchase_16","zm_tax_purchase_import_16"
,,,,,"zm_tax_purchase_20","zm_tax_purchase_import_16"
,,,,,"zm_tax_purchase_30","zm_tax_purchase_import_16"
,,,,,"zm_tax_purchase_375","zm_tax_purchase_import_16"
