id,code,description
product_hs_code_2023_01,01,LIVE ANIMALS
product_hs_code_2023_0101,0101,"Live horses, asses, mules and hinnies"
product_hs_code_2023_010121,010121,Pure-bred breeding animals
product_hs_code_2023_010129,010129,Other
product_hs_code_2023_010130,010130,Asses
product_hs_code_2023_010190,010190,Other
product_hs_code_2023_0102,0102,Live bovine animals
product_hs_code_2023_010221,010221,Pure-bred breeding animals
product_hs_code_2023_010229,010229,Other
product_hs_code_2023_010231,010231,Pure-bred breeding animals
product_hs_code_2023_010239,010239,Other
product_hs_code_2023_010290,010290,Other
product_hs_code_2023_0103,0103,Live swine
product_hs_code_2023_010310,010310,Pure-bred breeding animals
product_hs_code_2023_010391,010391,Weighing less than 50|kg
product_hs_code_2023_010392,010392,Weighing 50|kg or more
product_hs_code_2023_0104,0104,Live sheep and goats
product_hs_code_2023_010410,010410,Sheep
product_hs_code_2023_010420,010420,Goats
product_hs_code_2023_0105,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
product_hs_code_2023_010511,010511,Fowls of the species Gallus domesticus
product_hs_code_2023_010512,010512,Turkeys
product_hs_code_2023_010513,010513,Ducks
product_hs_code_2023_010514,010514,Geese
product_hs_code_2023_010515,010515,Guinea fowls
product_hs_code_2023_010594,010594,Fowls of the species Gallus domesticus
product_hs_code_2023_010599,010599,Other
product_hs_code_2023_0106,0106,Other live animals
product_hs_code_2023_010611,010611,Primates
product_hs_code_2023_010612,010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
product_hs_code_2023_010613,010613,Camels and other camelids (Camelidae)
product_hs_code_2023_010614,010614,Rabbits and hares
product_hs_code_2023_010619,010619,Other
product_hs_code_2023_010620,010620,Reptiles (including snakes and turtles)
product_hs_code_2023_010631,010631,Birds of prey
product_hs_code_2023_010632,010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
product_hs_code_2023_010633,010633,Ostriches; emus (Dromaius novaehollandiae)
product_hs_code_2023_010639,010639,Other
product_hs_code_2023_010641,010641,Bees
product_hs_code_2023_010649,010649,Other
product_hs_code_2023_010690,010690,Other
product_hs_code_2023_02,02,MEAT AND EDIBLE MEAT OFFAL
product_hs_code_2023_0201,0201,"Meat of bovine animals, fresh or chilled"
product_hs_code_2023_020110,020110,Carcases and half-carcases
product_hs_code_2023_020120,020120,Other cuts with bone in
product_hs_code_2023_020130,020130,Boneless
product_hs_code_2023_0202,0202,"Meat of bovine animals, frozen"
product_hs_code_2023_020210,020210,Carcases and half-carcases
product_hs_code_2023_020220,020220,Other cuts with bone in
product_hs_code_2023_020230,020230,Boneless
product_hs_code_2023_0203,0203,"Meat of swine, fresh, chilled or frozen"
product_hs_code_2023_020311,020311,Carcases and half-carcases
product_hs_code_2023_020312,020312,"Hams, shoulders and cuts thereof, with bone in"
product_hs_code_2023_020319,020319,Other
product_hs_code_2023_020321,020321,Carcases and half-carcases
product_hs_code_2023_020322,020322,"Hams, shoulders and cuts thereof, with bone in"
product_hs_code_2023_020329,020329,Other
product_hs_code_2023_0204,0204,"Meat of sheep or goats, fresh, chilled or frozen"
product_hs_code_2023_020410,020410,"Carcases and half-carcases of lamb, fresh or chilled"
product_hs_code_2023_020421,020421,Carcases and half-carcases
product_hs_code_2023_020422,020422,Other cuts with bone in
product_hs_code_2023_020423,020423,Boneless
product_hs_code_2023_020430,020430,"Carcases and half-carcases of lamb, frozen"
product_hs_code_2023_020441,020441,Carcases and half-carcases
product_hs_code_2023_020442,020442,Other cuts with bone in
product_hs_code_2023_020443,020443,Boneless
product_hs_code_2023_020450,020450,Meat of goats
product_hs_code_2023_0205,0205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
product_hs_code_2023_0206,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen"
product_hs_code_2023_020610,020610,"Of bovine animals, fresh or chilled"
product_hs_code_2023_020621,020621,Tongues
product_hs_code_2023_020622,020622,Livers
product_hs_code_2023_020629,020629,Other
product_hs_code_2023_020630,020630,"Of swine, fresh or chilled"
product_hs_code_2023_020641,020641,Livers
product_hs_code_2023_020649,020649,Other
product_hs_code_2023_020680,020680,"Other, fresh or chilled"
product_hs_code_2023_020690,020690,"Other, frozen"
product_hs_code_2023_0207,0207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen"
product_hs_code_2023_020711,020711,"Not cut in pieces, fresh or chilled"
product_hs_code_2023_020712,020712,"Not cut in pieces, frozen"
product_hs_code_2023_020713,020713,"Cuts and offal, fresh or chilled"
product_hs_code_2023_020714,020714,"Cuts and offal, frozen"
product_hs_code_2023_020724,020724,"Not cut in pieces, fresh or chilled"
product_hs_code_2023_020725,020725,"Not cut in pieces, frozen"
