"id","active","name","vat","state_id/id","country_id/id","city","zip","street","email","phone","website"
"demo_company_ae","False","AE Company","","state_ae_uq","ae","الشارقة","81730","A شارع ملقا","info@company.aeexample.com","+971 50 123 4567","http://www.aeexample.com"
"demo_company_at","False","AT Company","ATU12345675","","at","Innsbruck","6020","Sternwartestraße","info@company.atexample.com","+43 512 321 54 76","http://www.atexample.com"
"demo_company_au","False","AU Company","11 225 459 588","state_au_8","au","Home Rule","2850","Henry Lawson Drive","info@company.auexample.com","+61 412 345 678","http://www.auexample.com"
"demo_company_be","False","BE Company CoA","BE0246697724","","be","Antwerpen","2660","1021 Sint-Bernardsesteenweg","info@company.beexample.com","+32 470 12 34 56","http://www.beexample.com"
"demo_company_bg","False","BG Company","123123123","","bg","Sofia","1000","3233 Green Acres Road","info@company.bgexample.com","+852 5123 4567","http://www.bgexample.com"
"demo_company_bo","False","BO Company","","","bo","Municipio Santa Cruz de la Sierra","6495","Calle Chovena","info@company.boexample.com","+591 71234567","http://www.boexample.com"
"demo_company_br","False","BR Company","76.634.583/0001-74","state_br_rj","br","Rio de Janeiro","20081-240","Praça Mauá 1","info@company.brexample.com","+55 11 96123-4567","http://www.brexample.com"
"demo_company_ca","False","CA Company","725562771","state_ca_yt","ca","Longueuil","J4K4Y9","112 Place Charles-Le Moyne","info@company.caexample.com","+1 506-234-5678","http://www.caexample.com"
"demo_company_ch","False","CH Company","CHE-530.781.296 TVA","","ch","Risch-Rotkreuz","6343","14 Meierskappelerstrasse","info@company.chexample.com","+41 78 123 45 67","http://www.chexample.com"
"demo_company_cl","False","CL Company","22060449-7","state_cl_13","cl","Santiago","","1","info@company.clexample.com","+57 321 1234567","http://www.clexample.com"
"demo_company_cn","False","CN Company","","state_cn_MO","cn","大塘街道","510375","德政中路","info@company.cnexample.com","+86 131 2345 6789","http://www.cnexample.com"
"demo_company_co","False","CO Company","75101643","state_co_33","co","Zuluaga","","a","info@company.coexample.com","+57 321 1234567","http://www.coexample.com"
"demo_company_cr","False","CR Company","4000961586","state_L","cr","","","","info@company.crexample.com","+506 8312 3456","http://www.crexample.com"
"demo_company_cz","False","CZ Company","CZ12345679","","cz","Praha","","Pařížská Street 25/31","info@company.czexample.com","+420 5 12 34 56 78","http://www.czexample.com"
"demo_company_de","False","DE Company","DE462612124","","de","Mitte","10559","21 Turmstraße","info@company.de_skr03example.com","+49 1512 3456789","http://www.de_skr03example.com"
"demo_company_dk","False","DK Company","DK58403288","","dk","Aalborg","9430","G","info@company.dkexample.com","+45 32 12 34 56","http://www.dkexample.com"
"l10n_dz_demo_company_company","False","DZ Company","088390123","","dz","عين صالح","11200","شارع","info@company.dzexample.com","+213 5 916 9560 ","http://www.dzexample.com"
"demo_company_do","False","DO Company","088390123","state_DO_32","do","Andrés","15700","A","info@company.doexample.com","+1 809-234-5678","http://www.doexample.com"
"demo_company_ec","False","EC Company","2222222222001","","ec","Quito","170112","Av. de las Americas 505","info@company.ecexample.com","+593 99 123 4567","http://www.ecexample.com"
"demo_company_ee","False","EE Company","EE123456780","","ee","Alavere","74401","Elektra tee 60","info@demo-company.ee","+3724880508","http://www.demo-company.ee"
"demo_company_eg","False","EG Company","123456789","state_eg_c","eg","Zamalek","","112 26th July St.","info@company.egexample.com","+20 27 370 423","http://www.egexample.com"
"demo_company_es","False","ES Company","ES59962470K","state_es_z","es","Candasnos","22591","A","info@company.esexample.com","+34 612 34 56 78","http://www.esexample.com"
"demo_company_et","False","ET Company","","state_et_11","et","Debo Dibo","","","info@company.etexample.com","+251 91 123 4567","http://www.etexample.com"
"demo_company_fi","False","FI Company","FI20774740","state_fi_01","fi","Björsby","22150","Jomalaby väg","info@company.fi.example.com","+358 9 123 456","http://www.fi.example.com"
"demo_company_fr","False","FR Company","FR91746948785","","fr","Rennes","35043","Rue Abbé Huet","info@company.frexample.com","+33 6 12 34 56 78","http://www.frexample.com"
"demo_company_gr","False","GR Company","GR092303501","","gr","Κως","85300","a","info@company.grexample.com","+30 691 234 5678","http://www.grexample.com"
"demo_company_gt","False","GT Company","48291","state_gt_zac","gt","Zona 16","01015","18 Avenida","info@company.gtexample.com","+502 5123 4567","http://www.gtexample.com"
"demo_company_hk","False","HK Company","","","hk","Sai Ying Pun","","118 Connaught Road West","info@company.hkexample.com","+852 5123 4567","http://www.hkexample.com"
"demo_company_hn","False","HN Company","","","hn","Nacaome","","CA-1","info@company.hnexample.com","+504 9123-4567","http://www.hnexample.com"
"demo_company_hr","False","HR Company","HR18724543544","","hr","Ježdovec","10250","Vukasi","info@company.hrexample.com","+385 92 123 4567","http://www.hrexample.com"
"demo_company_hu","False","HU Company","HU12345676","","hu","Budapest","1022","Kitaibel Pál utca","info@company.huexample.com","+36 20 123 4567","http://www.huexample.com"
"demo_company_id","False","ID Company","","state_id_yo","id","Moncongloe","90241","AE","info@company.idexample.com","+62 812-345-678","http://www.idexample.com"
"demo_company_ie","False","IE Company","IE1519572A","state_ie_32","ie","Lucan-St. Helens ED","W23K5D0","Celbridge Road","info@company.ieexample.com","+353 85 012 3456","http://www.ieexample.com"
"demo_company_il","False","IL Company","","","il","תל אביב-יפו","no","500 ","info@company.ilexample.com","+972 50-234-5678","http://www.ilexample.com"
"demo_company_in","False","IN Company","36AABCT1332L011","state_in_ts","in","Hyderabad","500001","Block no. 401","info@company.inexample.com","+91 81234 56789","http://www.inexample.com"
"demo_company_it","False","IT Company","IT01654010345","state_it_vt","it","Prova","12345","Test Street","info@company.itexample.com","+39 312 345 6789","http://www.itexample.com"
"demo_company_jp","False","JP Company","7482543580381","state_jp_jp-19","jp","品川区","140-0004","池上通り","info@company.jpexample.com","+81 90-1234-5678","http://www.jpexample.com"
"demo_company_ke","False","KE Company","","","ke","Thika","01000","97-01028 Gatukuyu","kenyancompany@example.com","+254 775 550 919","http://www.keexample.com"
"demo_company_kz","False","KZ Company","100241007868","","kz","Shymkent","160012","Prospekt Tauke Khana 654","kzcompany@example.com","","http://www.kzcompany.com"
